shot_id,unit_order,sequence_id,feature_unit_id,primary_scene_id,feature_unit_title,shot_role,location,time_period,frame_brief,character_or_action_focus,camera_and_lens,lighting_and_palette,sound_or_transition,practical_vfx_note,evidence_ids,adaptation_decision_ids,visual_classification,asset_status
SB-001-1,1,SEQ-01,FU-001,SC-039,Before the City Wakes,ENTRY,Puhar harbour market and performance quarter,Festival dawn,Establish Puhar harbour market and performance quarter as lived space before foregrounding “Before the City Wakes.”,"Environment, labour and access relationships",28mm human-scale establishing frame; restrained lateral movement,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0103;EV-0104;EV-0119;EV-0005;EV-0007;EV-0008;EV-0010;EV-0027;EV-0033;EV-0003;EV-0004;EV-0028;EV-0029;EV-0030;EV-0031;EV-0048;EV-0051;EV-0090;EV-0093;EV-0098;EV-0101,AD-0047;AD-0048;AD-0003;AD-0005;AD-0006;AD-0009;AD-0001;AD-0012;AD-0021;AD-0024;AD-0041;AD-0042;AD-0043,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-001-2,1,SEQ-01,FU-001,SC-039,Before the City Wakes,DECISION,Puhar harbour market and performance quarter,Festival dawn,Stage the unit's decisive movement: Reveal loaders grain handlers flower workers musicians cleaners and animal keepers creating the festival before elite arrival,"The person making, resisting or receiving the consequential action",50mm observed action; camera remains at participant height,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0103;EV-0104;EV-0119;EV-0005;EV-0007;EV-0008;EV-0010;EV-0027;EV-0033;EV-0003;EV-0004;EV-0028;EV-0029;EV-0030;EV-0031;EV-0048;EV-0051;EV-0090;EV-0093;EV-0098;EV-0101,AD-0047;AD-0048;AD-0003;AD-0005;AD-0006;AD-0009;AD-0001;AD-0012;AD-0021;AD-0024;AD-0041;AD-0042;AD-0043,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-001-3,1,SEQ-01,FU-001,SC-039,Before the City Wakes,CONSEQUENCE,Puhar harbour market and performance quarter,Festival dawn,Hold the changed condition after “Before the City Wakes” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",75mm consequence detail or environmental handoff,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered spatial_or_montage transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0103;EV-0104;EV-0119;EV-0005;EV-0007;EV-0008;EV-0010;EV-0027;EV-0033;EV-0003;EV-0004;EV-0028;EV-0029;EV-0030;EV-0031;EV-0048;EV-0051;EV-0090;EV-0093;EV-0098;EV-0101,AD-0047;AD-0048;AD-0003;AD-0005;AD-0006;AD-0009;AD-0001;AD-0012;AD-0021;AD-0024;AD-0041;AD-0042;AD-0043,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-002-1,2,SEQ-01,FU-002,SC-002,The Proclamation and the Sceptre,ENTRY,Puhar civic route,Festival day 1,Establish Puhar civic route as lived space before foregrounding “The Proclamation and the Sceptre.”,"Environment, labour and access relationships",40mm relational master preserving distance and power,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0001;EV-0002;EV-0003;EV-0004;EV-0025;EV-0033;EV-0122,AD-0001;AD-0002;AD-0008;AD-0009;AD-0056,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-002-2,2,SEQ-01,FU-002,SC-002,The Proclamation and the Sceptre,DECISION,Puhar civic route,Festival day 1,Stage the unit's decisive movement: Announce festival and its promise of order and abundance,"The person making, resisting or receiving the consequential action",65mm listening single; reaction before assertion,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0001;EV-0002;EV-0003;EV-0004;EV-0025;EV-0033;EV-0122,AD-0001;AD-0002;AD-0008;AD-0009;AD-0056,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-002-3,2,SEQ-01,FU-002,SC-002,The Proclamation and the Sceptre,CONSEQUENCE,Puhar civic route,Festival day 1,Hold the changed condition after “The Proclamation and the Sceptre” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",50mm two-plane reversal or exit,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0001;EV-0002;EV-0003;EV-0004;EV-0025;EV-0033;EV-0122,AD-0001;AD-0002;AD-0008;AD-0009;AD-0056,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-003-1,3,SEQ-01,FU-003,SC-073,The House Does Not Dance,ENTRY,Madhavi household in Puhar,Festival dawn,Establish Madhavi household in Puhar as lived space before foregrounding “The House Does Not Dance.”,"Environment, labour and access relationships",28mm human-scale establishing frame; restrained lateral movement,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0164;EV-0166;EV-0170;EV-0176;EV-0021;EV-0022;EV-0025;EV-0034;EV-0104;EV-0163;EV-0174;EV-0175;EV-0178;EV-0227;EV-0228;EV-0229;EV-0241,AD-0081;AD-0082;AD-0086;AD-0087;AD-0008;AD-0009;AD-0010;AD-0012;AD-0048;AD-0084;AD-0089;AD-0118;AD-0119,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-003-2,3,SEQ-01,FU-003,SC-073,The House Does Not Dance,DECISION,Madhavi household in Puhar,Festival dawn,Stage the unit's decisive movement: Establish renunciation through changed labour rooms access and public expectation rather than a simple costume reveal,"The person making, resisting or receiving the consequential action",50mm observed action; camera remains at participant height,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0164;EV-0166;EV-0170;EV-0176;EV-0021;EV-0022;EV-0025;EV-0034;EV-0104;EV-0163;EV-0174;EV-0175;EV-0178;EV-0227;EV-0228;EV-0229;EV-0241,AD-0081;AD-0082;AD-0086;AD-0087;AD-0008;AD-0009;AD-0010;AD-0012;AD-0048;AD-0084;AD-0089;AD-0118;AD-0119,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-003-3,3,SEQ-01,FU-003,SC-073,The House Does Not Dance,CONSEQUENCE,Madhavi household in Puhar,Festival dawn,Hold the changed condition after “The House Does Not Dance” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",75mm consequence detail or environmental handoff,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0164;EV-0166;EV-0170;EV-0176;EV-0021;EV-0022;EV-0025;EV-0034;EV-0104;EV-0163;EV-0174;EV-0175;EV-0178;EV-0227;EV-0228;EV-0229;EV-0241,AD-0081;AD-0082;AD-0086;AD-0087;AD-0008;AD-0009;AD-0010;AD-0012;AD-0048;AD-0084;AD-0089;AD-0118;AD-0119,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-004-1,4,SEQ-01,BR-001,SC-097,Madhavi Brings the Unspeakable,ENTRY,Aravana's religious dwelling in Puhar,Pre-story or Act I memory,Establish Aravana's religious dwelling in Puhar as lived space before foregrounding “Madhavi Brings the Unspeakable.”,"Environment, labour and access relationships",28mm human-scale establishing frame; restrained lateral movement,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0215;EV-0165;EV-0167,AD-0081;AD-0084;AD-0109;AD-0117,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
