evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0068,TEXT,Divine transport from Puhar to Manipallavam,Manimekalai,Chapters 5 and 6,"The goddess carries sleeping Manimekalai away from Puhar to Manipallavam",citation_only,provisional,"Verify travel verbs direction and elapsed time against original Tamil"
EV-0069,TEXT,Manipallavam sacred landscape,Manimekalai,Chapters 6 to 11,"Manipallavam contains sacred features connected with the Buddha the Gomukhi pond memory of births and the Amudhasurabhi",citation_only,provisional,"Create line-level place concordance before final design"
EV-0070,TEXT,Human ships reach Manipallavam,Manimekalai,Chapters 14 and 25,"Merchant parties travel to Manipallavam and are able to return to the island",citation_only,provisional,"Confirms literary island is not only a dream or divine realm"
EV-0071,TEXT,Manipallavam and Naga dynastic memory,Manimekalai,Chapter 25,"The island is connected to Naga rulers political kinship and the story of a Chola child entrusted to a merchant",citation_only,provisional,"Names kinship sequence and route require Tamil verification"
EV-0072,TEXT,Puhar destruction geography,Manimekalai,Chapter 25,"The lost child shipwreck royal grief missed festival and destruction of Puhar are linked in the narrative",citation_only,provisional,"Literary causal sequence is not archaeological proof of one event"
EV-0073,HISTORY,Kantharodai early historic settlement,Helwing and collaborators,Kantharodai study,"Early historic occupation at Kantharodai began broadly around 400 to 100 BCE and the site became a major northern Sri Lankan settlement",open_access,provisional,"Provides regional context not Manipallavam identification"
EV-0074,HISTORY,Jaffna peninsula maritime network,Gunawardhana,Jaffna maritime trade study,"Ports and trade settlements around the Jaffna Peninsula including Kayts were connected with Kantharodai as an inland focus",open_access,provisional,"Chronology and individual harbour functions require specialist review"
EV-0075,HISTORY,Kantharodai settled agriculture,Murphy and collaborators,Kantharodai archaeobotany,"Kantharodai has evidence for rice millet pulses and settled early historic subsistence",open_access,provisional,"Supports inhabited regional landscape rather than exact epic diet"
EV-0076,HISTORY,Mantai transregional hub,Kingwell-Banham and collaborators,Mantai study,"Mantai operated as a trade hub linking the Arabian Sea Bay of Bengal Indian coasts and Sri Lankan interior from the first millennium BCE onward",citation_only,provisional,"Comparative northern Sri Lankan maritime evidence"
EV-0077,HISTORY,Mantai shallow-water transshipment logic,Kingwell-Banham and collaborators,Mantai study,"Shallow channels favoured differences between large-vessel anchorage and smaller-boat movement through the strait",citation_only,provisional,"Not direct proof of Manipallavam landing practice"
EV-0078,HISTORY,Karur Vanchi and Chera association,Tamil Nadu Department of Archaeology,Chera Site Museum Karur,"Government archaeology records associate Karur with Vanchi Karuvur Chera rulers and nearby Pugalur inscriptions",citation_only,provisional,"Competing Vanji identifications still require review"
EV-0079,HISTORY,Karur early historic trade assemblage,Tamil Nadu Department of Archaeology,Karur excavation records,"Karur excavations yielded Tamil-Brahmi sherds Roman coins precious stones rouletted ware amphora fragments bricks and iron objects",citation_only,provisional,"Supports inland trade centre and production design materials"
EV-0080,HISTORY,Early Tamilakam route networks,Vikas K Verma,Trade routes study,"Archaeological evidence supports interconnected coastal inland river and mountain-pass routes among ports and production centres",citation_only,provisional,"Does not establish Manimekalai's exact itinerary"
EV-0081,CAUTION,Manipallavam Nainativu identification unproven,Project methodology,Geography dossier,"A longstanding identification with Nainativu is a hypothesis and has not been archaeologically proven",original,approved,"Binding map production and publicity rule"
EV-0082,CAUTION,Naga identity not modern ethnicity,Project methodology,Geography dossier,"The epic's Naga labels must not be mapped automatically to one modern ethnic national or racial group",original,approved,"Includes explicit exclusion of Northeast Indian Naga conflation"
EV-0083,CAUTION,Regional archaeology is not literary identification,Project methodology,Geography dossier,"Evidence from Kantharodai Mantai Kayts or Nainativu establishes context but does not identify any site as Manipallavam",original,approved,"Binding scholarly and publicity rule"
EV-0084,INTERPRETATION,Three-layer production atlas,Project adaptation,Geography dossier,"The atlas separates textual historical and cinematic geography and displays confidence levels",original,provisional,"Requires cartographic archaeological and literary review"
EV-0085,INTERPRETATION,Distinct travel time systems,Project adaptation,Geography dossier,"Walking overland travel merchant sailing divine transport and previous-birth memory use different temporal and visual grammars",original,provisional,"Supports editing sound costume and continuity planning"
EV-0086,CAUTION,No fixed yojana conversion,Project methodology,Geography dossier,"Ancient distance units and translated numerical distances must not be converted into one exact modern coordinate without textual and metrological review",original,approved,"Binding maps dialogue and publicity rule"
EV-0087,CAUTION,Karur is provisional Vanji anchor,Project methodology,Geography dossier,"Karur Amaravati is the principal production anchor for Vanji but not declared the only possible Vanchi across all periods and texts",original,approved,"Binding historical framing rule"
EV-0088,INTERPRETATION,Northern Sri Lankan island-zone Manipallavam,Project adaptation,Geography dossier,"Manipallavam will be designed from a northern Sri Lankan low-island environmental hypothesis without copying one modern island",original,provisional,"Requires geology ecology archaeology and community consultation"
EV-0089,CAUTION,No exclusive modern ownership from archaeology,Project methodology,Geography dossier,"Northern Sri Lankan archaeology must not be used by the production to award exclusive ancient ownership to a modern community",original,approved,"Binding consultation and publicity rule"
