unit_order,feature_unit_id,primary_scene_id,feature_unit_title,unit_type,sequence_id,runtime_weight,absorbed_scene_ids,consolidation_summary
1,FU-001,SC-039,Before the City Wakes,CORE,SEQ-01,major,SC-001;SC-004;SC-034,Primary feature scene. Absorbs 3 supporting concept(s).
2,FU-002,SC-002,The Proclamation and the Sceptre,CORE,SEQ-01,standard,SC-048,Primary feature scene. Absorbs 1 supporting concept(s).
3,FU-003,SC-073,The House Does Not Dance,CORE,SEQ-01,major,SC-003;SC-040;SC-074;SC-105;SC-106,Primary feature scene. Absorbs 5 supporting concept(s).
4,BR-001,SC-097,Madhavi Brings the Unspeakable,BRANCH,SEQ-01,embedded,,Compressed embedded branch beat. Carries its function without merged duplicates.
5,FU-004,SC-075,A Daughter Is Not a Second Life,CORE,SEQ-01,major,SC-054;SC-057;SC-064;SC-108,Primary feature scene. Absorbs 4 supporting concept(s).
6,FU-005,SC-009,Many Paths Under One Roof,CORE,SEQ-01,standard,,Primary feature scene. Carries its function without merged duplicates.
7,FU-006,SC-081,The Safer Side of the Street,CORE,SEQ-02,standard,,Primary feature scene. Carries its function without merged duplicates.
8,FU-007,SC-082,Her Story Changes the Map,CORE,SEQ-02,standard,SC-056,Primary feature scene. Absorbs 1 supporting concept(s).
9,FU-008,SC-055,The Gaze Arrives Before the Prince,CORE,SEQ-02,major,SC-005;SC-083;SC-089,Primary feature scene. Absorbs 3 supporting concept(s).
10,FU-009,SC-058,No Is Not a Riddle,CORE,SEQ-02,major,SC-049;SC-065;SC-084;SC-091,Primary feature scene. Absorbs 4 supporting concept(s).
11,FU-010,SC-090,A Warning From Beyond,CORE,SEQ-02,standard,,Primary feature scene. Carries its function without merged duplicates.
12,FU-011,SC-059,The Goddess Chooses Her,CORE,SEQ-02,major,SC-025,Primary feature scene. Absorbs 1 supporting concept(s).
13,FU-012,SC-085,The Place Beside Her Is Empty,CORE,SEQ-02,standard,SC-076,Primary feature scene. Absorbs 1 supporting concept(s).
14,FU-013,SC-066,Alone Where the City Cannot See,CORE,SEQ-03,major,SC-026,Primary feature scene. Absorbs 1 supporting concept(s).
15,FU-014,SC-027,The Pond That Remembers,CORE,SEQ-03,major,,Primary feature scene. Carries its function without merged duplicates.
16,FU-015,SC-015,The Vessel Chooses a Custodian,CORE,SEQ-03,major,SC-067,Primary feature scene. Absorbs 1 supporting concept(s).
17,FU-016,SC-086,Sudhamathi Gives the Account,CORE,SEQ-03,standard,,Primary feature scene. Carries its function without merged duplicates.
