sequence,scene_range,structural_static_audit,executable_structure_validator,spoken_tamil,terminology,character_voice,read_aloud_timing,notes
SEQ-01,#1-#6,PASS_STATIC,PASS_EXECUTED,INTERNAL_PERFORMANCE_COMPLETE,REVIEW_REQUIRED,INTERNAL_VOICE_COMPLETE,ACTOR_SESSION_OPEN,"Internal semantic and performance review complete; religious historical terminology and actor timing remain"
SEQ-02,#7-#13,PASS_STATIC,PASS_EXECUTED,INTERNAL_PERFORMANCE_COMPLETE,REVIEW_REQUIRED,INTERNAL_VOICE_COMPLETE,ACTOR_SESSION_OPEN,"Internal survivor agency refusal and household testimony review complete; trauma-informed and actor timing gates remain"
SEQ-03,#14-#17,PASS_STATIC,PASS_EXECUTED,INTERNAL_SEMANTIC_COMPLETE,REVIEW_REQUIRED,REVIEW_REQUIRED,OPEN,"Necessary sensory, vulnerability and epistemic beats restored; specialist and performance gates remain"
SEQ-04,#18-#34,PASS_STATIC,PASS_EXECUTED,INTERNAL_PERFORMANCE_COMPLETE,REVIEW_REQUIRED,INTERNAL_VOICE_COMPLETE,ACTOR_SESSION_OPEN,"Internal semantic review repaired indispensability tribute and prison-recognition wording; culinary doctrine institutions and actor timing remain"
SEQ-05,#35-#43,PASS_STATIC,PASS_EXECUTED,INTERNAL_PERFORMANCE_COMPLETE,REVIEW_REQUIRED,INTERNAL_VOICE_COMPLETE,OPEN,"Internal spoken-performance and causality pass complete; actor timing and specialist terminology remain"
SEQ-06,#44-#49,PASS_STATIC,PASS_EXECUTED,INTERNAL_PERFORMANCE_COMPLETE,REVIEW_REQUIRED,INTERNAL_VOICE_COMPLETE,OPEN,"Internal spoken-performance and delegated-harm pass complete; actor timing and institutional terminology remain"
SEQ-07,#50-#53,PASS_STATIC,PASS_EXECUTED,INTERNAL_PERFORMANCE_COMPLETE,REVIEW_REQUIRED,INTERNAL_VOICE_COMPLETE,OPEN,"Internal spoken-performance and accountable-release pass complete; actor timing and institutional terminology remain"
SEQ-08,#54-#59,PASS_STATIC,PASS_EXECUTED,INTERNAL_PERFORMANCE_COMPLETE,REVIEW_REQUIRED,INTERNAL_VOICE_COMPLETE,ACTOR_SESSION_OPEN,"Internal governance identity and rebirth review complete; Buddhist historical and actor timing gates remain"
SEQ-09,#60-#65,PASS_STATIC,PASS_EXECUTED,INTERNAL_PERFORMANCE_COMPLETE,CRITICAL_REVIEW,INTERNAL_VOICE_COMPLETE,ACTOR_SESSION_OPEN,"Internal semantic review complete and slash-joined Roman cues repaired; technical philosophy vocabulary and actor timing remain"
SEQ-10,#66-#72,PASS_STATIC,PASS_EXECUTED,INTERNAL_PERFORMANCE_COMPLETE,REVIEW_REQUIRED,INTERNAL_VOICE_COMPLETE,ACTOR_SESSION_OPEN,"Internal semantic review restored livelihood evidence and loom image; institutional historical production and actor timing remain"
