evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0147,TEXT,Manimekalai inherits Madhavi and Kovalan's public history,Manimekalai and Silappathikaram,Opening lineage context,"Manimekalai is the daughter of Madhavi and Kovalan and enters a world shaped by performance lineage public reputation grief and the Madurai catastrophe",citation_only,provisional,"Create original-text and cross-epic lineage concordance"
EV-0148,CAUTION,Exact numerical age is unresolved,Project methodology,Character bible,"The present research does not establish one verified numerical age for Manimekalai",original,approved,"Binding casting and publicity safeguard"
EV-0149,TEXT,Manimekalai is publicly read through beauty,Manimekalai,Puhar chapters,"Flowers hair eyes bangles youth and beauty affect how others perceive and pursue her",citation_only,provisional,"Separate poetic convention from plot-driving description"
EV-0150,TEXT,Refusal is expressed through repeated action,Manimekalai,Puhar pursuit and renunciation arc,"Manimekalai leaves withdraws disguises herself accepts discipline and redirects her life rather than accepting the future others assign",citation_only,provisional,"Map direct speech versus action-based refusal"
EV-0151,TEXT,Manipallavam disclosure exceeds immediate emotional integration,Manimekalai,Chapters 6 to 11,"Divine transport past-life memory sacred landscape and responsibility arrive in rapid sequence",citation_only,provisional,"Character performance must preserve disorientation and emotional processing"
EV-0152,TEXT,Amudhasurabhi changes private escape into public responsibility,Manimekalai,Chapters 11 to 17,"Receiving and using the vessel makes Manimekalai responsible for strangers and public feeding",citation_only,provisional,"Central character turning point"
EV-0153,TEXT,Service develops practical and institutional knowledge,Manimekalai,Feeding prison and Kanchi sequences,"Manimekalai's compassion operates through alms crowd service prison reform and inclusive famine relief",citation_only,provisional,"Connect character performance with logistics and public authority"
EV-0154,TEXT,Disguise carries embodied and social consequences,Manimekalai,Kayasandihai and sage-form episodes,"Manimekalai's altered forms change recognition access danger voice and responsibility",citation_only,provisional,"Do not reduce transformations to costume changes"
EV-0155,TEXT,Prince's death creates grief and responsibility conflict,Manimekalai,Udayakumaran death and aftermath,"The death follows pursuit mistaken recognition jealousy and violence and requires Manimekalai to interpret causation without accepting false legal blame",citation_only,provisional,"Verify exact emotional response in Tamil"
EV-0156,TEXT,Queen conflict tests compassion without submission,Manimekalai,Chapter 23,"Manimekalai faces confinement deprivation and coercion and later addresses Rajamadevi's grief and actions",citation_only,provisional,"Recognition must not erase harm"
EV-0157,TEXT,Philosophical arc moves from hearing to testing and practice,Manimekalai,Chapters 27 to 30,"Manimekalai hears rival positions studies reasoning and connects causal teaching with conduct and suffering",citation_only,provisional,"Do not give mature vocabulary before training"
EV-0158,INTERPRETATION,Withdrawal is an incomplete early solution,Project adaptation,Character bible,"Manimekalai initially relies on distance secrecy and withdrawal for safety but later develops chosen public obligation",original,provisional,"Core psychological arc requiring screenplay review"
EV-0159,CAUTION,Supernatural capacity is not emotional invulnerability,Project methodology,Character bible,"Divine transport memory transformations mantras and the vessel do not remove fear fatigue grief uncertainty or consequence",original,approved,"Binding writing performance VFX and publicity rule"
EV-0160,INTERPRETATION,Voice develops by dramatic function,Project adaptation,Character bible,"Her voice moves from protective economy through questioning and operational service toward disciplined philosophical inquiry",original,provisional,"Dialogue and actor rehearsal framework"
EV-0161,INTERPRETATION,Body retains artistic household history,Project adaptation,Character bible,"Rhythm balance posture and spatial awareness remain plausible traces of upbringing in Madhavi's trained performance household",original,provisional,"Do not claim professional mastery not established by text"
EV-0162,CAUTION,Spiritual stillness is not emotional absence,Project methodology,Character bible,"The final performance must not represent liberation as vacancy colourlessness or inability to feel attachment grief anger or care",original,approved,"Binding ending and publicity rule"
