unit_order,feature_unit_id,feature_unit_title,unit_type,sequence_id,target_minutes,min_minutes,max_minutes,intensity,presentation,transition_type
1,FU-001,Before the City Wakes,CORE,SEQ-01,3.25,2.6,3.9,medium,visual-led,spatial_or_montage
2,FU-002,The Proclamation and the Sceptre,CORE,SEQ-01,2.25,1.8,2.7,medium,dialogue-led,continuous_scene
3,FU-003,The House Does Not Dance,CORE,SEQ-01,3.25,2.6,3.9,medium,visual-led,continuous_scene
4,BR-001,Madhavi Brings the Unspeakable,BRANCH,SEQ-01,0.75,0.6,0.9,medium,visual-led,memory_inset
5,FU-004,A Daughter Is Not a Second Life,CORE,SEQ-01,3.25,2.6,3.9,medium,balanced,continuous_scene
6,FU-005,Many Paths Under One Roof,CORE,SEQ-01,2.25,1.8,2.7,medium,balanced,continuous_scene
7,FU-006,The Safer Side of the Street,CORE,SEQ-02,1.75,1.4,2.1,medium,balanced,continuous_scene
8,FU-007,Her Story Changes the Map,CORE,SEQ-02,1.75,1.4,2.1,medium,balanced,continuous_scene
9,FU-008,The Gaze Arrives Before the Prince,CORE,SEQ-02,2.75,2.2,3.3,medium,balanced,continuous_scene
10,FU-009,No Is Not a Riddle,CORE,SEQ-02,2.75,2.2,3.3,medium,balanced,continuous_scene
11,FU-010,A Warning From Beyond,CORE,SEQ-02,1.75,1.4,2.1,high,dialogue-led,continuous_scene
12,FU-011,The Goddess Chooses Her,CORE,SEQ-02,2.5,2.0,3.0,medium,balanced,continuous_scene
13,FU-012,The Place Beside Her Is Empty,CORE,SEQ-02,1.75,1.4,2.1,medium,balanced,continuous_scene
14,FU-013,Alone Where the City Cannot See,CORE,SEQ-03,4.25,3.4,5.1,medium,visual-led,spatial_or_montage
15,FU-014,The Pond That Remembers,CORE,SEQ-03,4.0,3.2,4.8,medium,visual-led,memory_or_revelation
16,FU-015,The Vessel Chooses a Custodian,CORE,SEQ-03,4.0,3.2,4.8,medium,visual-led,continuous_scene
17,FU-016,Sudhamathi Gives the Account,CORE,SEQ-03,2.75,2.2,3.3,medium,dialogue-led,continuous_scene
18,FU-017,Three Women Enter the Teacher's Space,CORE,SEQ-04,2.25,1.8,2.7,medium,balanced,continuous_scene
19,FU-018,He Lets the Account Finish,CORE,SEQ-04,2.25,1.8,2.7,medium,dialogue-led,continuous_scene
20,FU-019,Aputhiran Is Not a Legend,CORE,SEQ-04,2.0,1.6,2.4,medium,balanced,continuous_scene
21,BR-002,Seven Days of Milk,BRANCH,SEQ-04,0.5,0.4,0.6,medium,visual-led,memory_inset
22,BR-003,The Cow at the Fire,BRANCH,SEQ-04,0.5,0.4,0.6,high,visual-led,memory_inset
23,BR-004,He Eats What Remains,BRANCH,SEQ-04,0.5,0.4,0.6,medium,visual-led,memory_inset
