evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0129,TEXT,Manimekalai refuses an assigned performance future,Manimekalai,Early narrative and pursuit sequence,"Manimekalai rejects the social and erotic future claimed through her beauty birth and inherited performance world",citation_only,provisional,"Map exact chapters and Tamil terminology"
EV-0130,TEXT,Madhavi redirects her daughter after grief,Manimekalai,Opening chapters,"Madhavi turns toward renunciation after Kovalan's death and seeks a different future for Manimekalai",citation_only,provisional,"Do not reduce to repentance stereotype"
EV-0131,TEXT,Chitrapathi pressures continuation of lineage,Manimekalai,Puhar pursuit narrative,"Chitrapathi works to preserve the established performance household and restore Manimekalai to elite visibility",citation_only,provisional,"Verify motives actions and kinship terminology"
EV-0132,TEXT,Udayakumaran persists despite renunciant choice,Manimekalai,Puhar pursuit narrative,"The prince continues pursuing Manimekalai despite her movement toward religious renunciation and refusal",citation_only,provisional,"Distinguish explicit speech from inferred refusal"
EV-0133,TEXT,Sudhamathi survives separation abandonment and household collapse,Manimekalai,Sudhamathi narrative,"Sudhamathi recounts danger separation abandonment her father's injury and loss of economic security",citation_only,provisional,"Trauma-informed treatment and line-level verification required"
EV-0134,TEXT,Rajamadevi uses palace power against Manimekalai,Manimekalai,Chapter 23,"The queen's grief becomes coercive action involving confinement deprivation and plans to discredit Manimekalai",citation_only,provisional,"Verify exact sequence and agents"
EV-0135,TEXT,Female divine figures guide and instruct,Manimekalai,Across narrative,"Female divine figures transport warn instruct and transfer sacred responsibility to Manimekalai",citation_only,provisional,"Differentiate each figure and exact authority"
EV-0136,TEXT,Manimekalai assumes Kayasandihai's embodied identity,Manimekalai,Chapters 17 to 21,"Manimekalai takes Kayasandihai's form and becomes legible through another woman's history and relationships",citation_only,provisional,"Not a simple costume change"
EV-0137,TEXT,Manimekalai uses a male sage form for intellectual access,Manimekalai,Chapters 27 and 29,"Manimekalai hears philosophical teachers in a sage or male form",citation_only,provisional,"Verify Tamil terms and mechanics"
EV-0138,TEXT,Athirai converts household resources into public alms,Manimekalai,Chapters 15 and 16,"Athirai's offering links household agency with Manimekalai's public feeding mission",citation_only,provisional,"Do not make married respectability the only approved female model"
EV-0139,TEXT,Women's branch stories present multiple gendered outcomes,Manimekalai,Branch narratives,"Stories of women explore beauty danger chastity renunciation persuasion suffering and karmic consequence rather than one uniform ideal",citation_only,provisional,"Create branch-story concordance"
EV-0140,HISTORY,Gendered rhetoric shapes the female renouncer,Paula Richman,Gender and persuasion scholarship,"Beauty anguish and nurturance function as gendered rhetorical resources in the literary portrayal of the Tamil female renouncer",citation_only,provisional,"Scholarly interpretation of text not social-statistical proof"
EV-0141,HISTORY,Women's branch narratives are central to literary persuasion,Paula Richman,Women Branch Stories and Religious Rhetoric,"Women's stories are structurally important to the epic's Buddhist persuasive project",citation_only,provisional,"Full book review required before scene-level claims"
EV-0142,CAUTION,Courtesan is not an exact cross-period institution,Project methodology,Gender dossier,"The English term courtesan cannot automatically be equated with devadasi prostitution concubinage slavery or modern celebrity",original,approved,"Binding terminology costume and publicity rule"
EV-0143,CAUTION,Renunciation is not rejection of the female body,Project methodology,Gender dossier,"Female celibacy and renunciation must not be framed as proof that sexuality performance motherhood or womanhood is impure",original,approved,"Binding religious and gender framing rule"
EV-0144,CAUTION,Gendered magical disguises are not modern identity proof,Project methodology,Gender dossier,"Kayasandihai and male sage transformations cannot be advertised as direct evidence for a modern transgender or nonbinary category",original,approved,"Also prohibit comic treatment"
EV-0145,INTERPRETATION,Agency is constrained relational and costly,Project adaptation,Gender dossier,"Women's choices are shown together with family economy status bodily risk religious authority and political power",original,provisional,"Requires gender history and screenplay review"
EV-0146,CAUTION,Beauty adornment and public presence are not consent,Project methodology,Gender dossier,"No visual or narrative treatment may imply that beauty ornament training reputation or public presence authorises pursuit",original,approved,"Binding camera dialogue and intimacy rule"
