decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0108,Name age and monastic rank remain unresolved,binding,"Current evidence identifies an elderly revered Buddhist teacher but does not fix one spelling age rank lineage or institution","Casting costume and publicity could invent a complete historical biography or standard monastic office","Keep terminology provisional avoid exact age claims and approve costume and institutional language only after Tamil and Buddhist-historical review","Protects textual honesty and prevents imported monastic systems","EV-0210;EV-0211;EV-0224","Classical Tamil; Buddhist history; casting; costume; publicity"
AD-0109,Aravana listens before interpreting,binding,"Manimekalai gives an extended account of the garden Manipallavam previous births mantras and vessel before he teaches","The mentor could interrupt with omniscience and reduce the heroine to a passive recipient","Give the account full dramatic space and make his response depend on what he has heard directly","Preserves testimony knowledge continuity and the student's agency","EV-0212;EV-0213","Classical Tamil; screenplay; performance; editor"
AD-0110,Age is embodied history not comic weakness or automatic omniscience,binding,"The text describes white hair and trembling speech while showing sustained travel intervention memory and teaching","Old-age shorthand could make him feeble mystical or unquestionable","Show physical cost recovery and deliberate speech alongside alert judgement and permit uncertainty or error","Creates a playable elder without ableist or devotional caricature","EV-0211;EV-0222","Actor preparation; ageing specialist; disability review; director"
AD-0111,Mentor authority does not own the student's conscience,binding,"Aravana guides Manimekalai at several transitions but she also receives revelation serves travels questions and examines rival schools","The adaptation could make all her choices extensions of a male teacher's will","Let him equip correct and challenge while preserving her right to question interpret choose and act beyond his presence","Protects the protagonist's mature agency and strengthens the mentor relationship","EV-0213;EV-0220;EV-0221","Screenplay; gender studies; Buddhist studies; performance"
AD-0112,Narrative teaching answers a present ethical question,binding_provisional,"Aravana uses previous-birth and Aputhiran narratives in response to grief revelation the vessel and hunger","Branch stories could become detachable illustrated exposition","Every retained narrative must change a decision understanding or action in the receiving scene","Makes story causally necessary and reduces lecture structure","EV-0214;EV-0216;EV-0225","Adaptation editor; classical Tamil; screenplay; story department"
AD-0113,Service and hunger precede abstract doctrinal display,binding,"The vessel teaching directs Manimekalai into public feeding before the final formal logic instruction","The mentor could be remembered only as a doctrinal lecturer while the epic's social ethics disappear","Stage his authority first through the demand that abundance serve hungry beings and later connect reasoning to lived suffering","Keeps compassion action and philosophy integrated","EV-0216;EV-0217;EV-0220","Food and hunger research; Buddhist studies; screenplay; editor"
AD-0114,Palace intervention uses moral and social authority not magical command,binding_provisional,"Madhavi and Sudhamathi seek Aravana's help during Manimekalai's custody and he contributes to release","A holy-man entrance could instantly override the queen and erase institutions testimony and political risk","Show access reporting questioning reputation and negotiation and identify what action changes custody","Preserves the political stakes and prevents deus-ex-machina authority","EV-0218;EV-0226","Classical Tamil; legal history; politics; screenplay"
AD-0115,Buddhist conviction remains explicit without caricaturing rivals,binding,"Aravana teaches Buddhist dharma after Manimekalai has heard competing philosophical positions","Generic spirituality could erase the epic's standpoint while sectarian staging could make opponents foolish or corrupt","Name and dramatise his Buddhist commitments while allowing rival arguments intellectual dignity and genuine questions","Preserves the work's religious identity and the seriousness of inquiry","EV-0220;EV-0223","Buddhist studies; history of religions; classical Tamil; dialogue"
AD-0116,Logic instruction is dialogic concrete and dramatically earned,binding_provisional,"Chapter 29 presents structured teaching on valid knowledge perception inference and argument after Manimekalai requests clarification","The climax could become a static technical lecture or simplify logic into slogans","Use a concrete case student formulation correction and visible reasoning while preserving terminology for specialist review","Makes intellectual growth cinematic without falsifying doctrine","EV-0220;EV-0225","Buddhist logic; classical Tamil; dialogue; actor rehearsal; editor"
AD-0117,Aravana is not an infallible mouthpiece beyond interpretation or review,binding,"Reverence surrounds the teacher and his speech includes karma gender social judgement and sectarian claims from a particular literary world","The film could treat every statement as timeless fact or avoid the text by making him generically modern","Preserve relevant teaching with context listener response consequences and explicit uncertainty where scholarship is unresolved","Allows serious Buddhist commitment without erasing ethical and historical complexity","EV-0214;EV-0223","Classical Tamil; Buddhist studies; gender studies; ethics; sensitivity review"
