evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0102,TEXT,Chathanar identified as grain merchant,Manimekalai,Colophon,"The author is identified as Kulavanikan Chathanar rendered in the supplied translation as a grain merchant",citation_only,provisional,"Verify exact Tamil compound and commercial meaning"
EV-0103,TEXT,Occupational streets and specialist workers,Manimekalai,Chapter 28,"The city includes shell and conch workers pearl-garland makers dancers grain sellers weavers gold valuers diamond merchants mahouts horse trainers officials and others",citation_only,provisional,"Determine which city and exact occupational terms in Tamil"
EV-0104,TEXT,Performance requires multidisciplinary training,Manimekalai,Chapter 2,"The curriculum of trained performing women includes dance music instruments languages bodily technique calculation painting flowers design and time knowledge",citation_only,provisional,"Literary catalogue requires line-level Tamil verification"
EV-0105,TEXT,Merchant groups undertake sea voyages,Manimekalai,Chapters 14 16 and 25,"Merchants travel in groups by ship and face provisioning abandonment storm and return-navigation risks",citation_only,provisional,"Distinguish owners passengers and professional crew"
EV-0106,TEXT,Valuable wreck goods circulate,Manimekalai,Chapter 16,"Sandalwood jewels and soft cloth are associated with sailors and shipwreck recovery",citation_only,provisional,"Not a complete cargo manifest or ownership rule"
EV-0107,TEXT,Household alms enter public redistribution,Manimekalai,Chapters 15 and 16,"Food moves from Athirai's household through Manimekalai toward wider feeding and relief",citation_only,provisional,"Exact food and ritual terminology require Tamil review"
EV-0108,TEXT,Injury can destroy livelihood and force begging,Manimekalai,Chapter 5 Sudhamathi narrative,"Sudhamathi's injured father loses support and seeks food revealing economic vulnerability after bodily harm",citation_only,provisional,"Do not generalise one narrative into a complete welfare system"
EV-0109,HISTORY,Kodumanal craft and exchange node,Tamil Nadu Department of Archaeology,Kodumanal,"Inscribed pottery beads carnelian iron objects and route context support specialised craft production and inland exchange",citation_only,provisional,"Full excavation and technology reports required"
EV-0110,HISTORY,Karur was an early historic trade centre,Tamil Nadu Department of Archaeology,Karur,"Tamil-Brahmi sherds amphorae rouletted ware coins stones brick and iron finds support inland commercial importance",citation_only,provisional,"Imported objects do not identify every user or merchant"
EV-0111,HISTORY,Alagankulam participated in coastal exchange,Tamil Nadu Department of Archaeology,Alagankulam,"Mediterranean-region pottery rouletted ware amphora fragments Tamil-Brahmi sherds beads bricks and coins indicate coastal circulation",citation_only,provisional,"Do not stage a Roman colonial settlement"
EV-0112,HISTORY,Arikamedu bead production required specialised operations,Peter Francis Jr and later scholarship,Arikamedu,"Glass and stone bead manufacture involved multiple technical stages and long-distance distribution",citation_only,provisional,"Chronology and production scale require specialist review"
EV-0113,HISTORY,Lapidary workers formed connected communities of practice,Gwendolyn O Kelly,Early Historic South India,"Bead technologies across sites are better understood as varied connected practices than fixed ethnic industries",citation_only,provisional,"Supports anti-ethnic-essentialism rule"
EV-0114,HISTORY,Tamil-Brahmi marked portable economic objects,Tamil Nadu Department of Archaeology,Tamil-Brahmi records,"Names and marks occur on pottery rings seals coins and other portable objects across early historic Tamilakam",citation_only,provisional,"A mark does not automatically identify maker owner or contents"
EV-0115,HISTORY,Early corporate merchant reference is limited,Tamil Nadu Department of Archaeology,Guild inscriptions,"A stray Tamil-Brahmi reference to Vellarai Nigamaththor suggests early corporate or merchant identity",citation_only,provisional,"Meaning chronology and institutional scope require epigraphic review"
EV-0116,CAUTION,Later guild systems cannot be projected backward,Project methodology,Economy dossier,"Medieval Ainnurruvar Nanadesi Manigramam and related institutions are not automatic models for the epic's early historic economy",original,approved,"Binding screenplay production and publicity rule"
EV-0117,CAUTION,Imported objects do not prove foreign colonies,Project methodology,Economy dossier,"Amphorae coins and imported ceramics prove circulation but not a Roman quarter or foreign ownership of every object",original,approved,"Binding archaeology and publicity rule"
EV-0118,CAUTION,Coin finds do not prove fully monetised exchange,Project methodology,Economy dossier,"Coins and weights do not establish that every market transaction used standard coin denominations",original,approved,"Binding prop dialogue and market-design rule"
EV-0119,INTERPRETATION,Economy shown as labour chains,Project adaptation,Economy dossier,"Objects and wealth are reconstructed through extraction production transport valuation sale repair and disposal",original,provisional,"Requires craft labour and economic-history review"
EV-0120,CAUTION,Craft technique is not ethnicity,Project methodology,Economy dossier,"A bead pottery metal or textile technique cannot by itself define the worker's ethnicity or social identity",original,approved,"Binding casting costume and publicity rule"
EV-0121,INTERPRETATION,Poverty follows disrupted work and access,Project adaptation,Economy dossier,"Hunger and migration are visualised through injury lost tools failed markets interrupted transport and exclusion from goods",original,provisional,"Connects economy and hunger dossiers"
