evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0307,CAUTION,Aadhirai name and household status remain unresolved,Project methodology,Character bible,"The Tamil form ஆதிரை is present but preferred transliteration exact age household authority marriage chronology and property status require original-text and social-history review",original,approved,"Binding naming casting publicity and household-design safeguard"
EV-0308,TEXT,Sadhuvan leaves Aadhirai,Manimekalai,Chapter 16,"The narrative presents Sadhuvan as leaving or neglecting Aadhirai and becoming attached to another woman before undertaking maritime travel",citation_only,provisional,"Verify exact chronology agency and relationship vocabulary"
EV-0309,TEXT,Aadhirai receives false news of maritime death,Manimekalai,Chapter 16,"After Sadhuvan's shipwreck people report that he has died and Aadhirai acts on that report",citation_only,provisional,"Verify messengers evidence and exact emotional sequence"
EV-0310,TEXT,Aadhirai attempts to enter fire,Manimekalai,Chapter 16,"Believing her husband dead Aadhirai prepares or attempts to die in fire but the expected burning does not occur",citation_only,provisional,"Requires exact Tamil ritual terminology and safeguarding review"
EV-0311,TEXT,A supernatural voice prevents completed self-destruction,Manimekalai,Chapter 16,"A voice or divine communication tells Aadhirai that Sadhuvan lives and redirects her from the attempted death",citation_only,provisional,"Verify speaker wording and staging mechanics"
EV-0312,TEXT,Sadhuvan survives shipwreck and reaches another community,Manimekalai,Chapter 16,"Sadhuvan survives a storm and maritime disaster reaches an island or Naga-associated community and communicates across difference",citation_only,provisional,"Cross-reference maritime dossier and geographic caution"
EV-0313,TEXT,Sadhuvan argues for protection of vulnerable survivors,Manimekalai,Chapter 16,"Sadhuvan urges the island community to rescue shipwrecked people rather than kill exploit or seize from them",citation_only,provisional,"His ethical change does not erase prior household harm"
EV-0314,TEXT,Aadhirai and Sadhuvan reunite after altered journeys,Manimekalai,Chapter 16,"Sadhuvan later returns and the narrative presents reunion with Aadhirai after his survival and moral change",citation_only,provisional,"Verify whether forgiveness reconciliation and household restoration are explicit or inferred"
EV-0315,TEXT,Aadhirai gives the first household offering,Manimekalai,Chapters 15 to 16,"Manimekalai is directed to Aadhirai's household and Aadhirai gives the first offering associated with the Amudhasurabhi feeding mission",citation_only,provisional,"Extends existing EV-0052 with character-specific context"
EV-0316,TEXT,Aadhirai's offering carries a universal hunger wish,Manimekalai,Chapter 16,"The offering is connected with a wish that hunger or suffering from hunger disappear beyond the private household",citation_only,provisional,"Verify exact Tamil blessing and scope"
EV-0317,CAUTION,Fire sequence cannot be romanticised,Project methodology,Character bible,"Aadhirai's attempted death cannot be staged as ideal wifehood erotic sacrifice proof of chastity or a model for present conduct",original,approved,"Binding direction edit music publicity and safety rule"
EV-0318,INTERPRETATION,Private grain becomes public life through women's trust,Project adaptation,Character bible,"The first-offering scene can dramatise household food authority and trust between Aadhirai and Manimekalai as the bridge from sacred vessel to organised public feeding",original,provisional,"Requires Tamil household economy food-history and gender review"
