mechanic_id,mechanic_name,description,narrative_purpose,first_appearance,sequence_usage,player_input,output_feedback,fail_state,accessibility_concern,source_or_adaptation_constraint,prototype_priority,status
GM-01,Location Navigation,2.5D traversal of bounded authored neighbourhoods/institutions/sacred spaces,Grounds compassion as embodied presence in real places rather than menus,SEQ-01 (VS: S1),All sequences,Move (touch drag / WASD / stick),Character moves; diegetic hotspots highlight on proximity,None (no game-over); blocked path is fail-forward,Reduced-motion mode; touch + keyboard + controller; no reliance on fast reflexes,No open world (owner non-goal); locations bounded (10A),P1,proposed
GM-02,Observe,Look closely at labour/food systems/architecture/social barriers to capture a direct-observation card,Makes 'labour visible behind wealth' and hunger visible as structure,SEQ-01 (VS: S1),01;03;04;10,Tap/click a diegetic detail,Observation card added to Ledger; short caption,Missing an observation = incomplete causal map (fail-forward),Colour-independent highlight; screen-reader labels on hotspots,04H section 6; storyboard 'no fantasy glow'; evidence labels required,P1,proposed
GM-03,Listen (let the account finish),Hear testimony that can be allowed to complete or cut short; finishing matters,Pillar 2: listening before intervention; testimony ownership (FU-017/018),SEQ-04 (VS: S2),01;04;05;06;07;09,Hold/confirm 'let it finish'; no skip reward,Testimony card; trust shift; cause unlocked only if finished,Cutting short loses a cause and lowers witness trust (fail-forward),Full dialogue history; adjustable text speed; no timed input,FU-017/FU-018; 05B; do not make testimony skippable filler,P1,proposed
GM-04,Ledger of Knowing (evidence classification),Classify each item as observation/testimony/inference/assumption/memory/philosophical-claim/public-proof,Pillar 4: evidence before certainty; the epic's epistemology as play,SEQ-04 (VS: S2),04;05;06;07;09;10,Assign a card to a category,Correct restraint rewarded; acting on assumption-as-proof triggers correction,Misclassification = worse outcome + explicit correction (never hard fail),Categories icon+text (not colour only); difficulty setting simplifies category count,05B; PHL-02; 10A 'make one incomplete inference and accept correction'; not a quiz,P1,proposed
GM-05,Causal Map,Assemble observations+testimony into material AND institutional causes of a problem,Owner loop step 5; separates symptom from structural cause,SEQ-04 (VS: S6/S8),04;06;10,Link cards into a cause graph,Cause graph reveals binding constraints for intervention,Incomplete map = intervention addresses symptom only (fail-forward),Node/edge graph needs text-list alternative for screen readers,10A 'material and institutional causes'; must include institutional not just logistical,P2,proposed
GM-06,Trust and Access,Per-person/per-institution relationship state governing testimony offered and interventions permitted; NOT a morality score,Consequences via trust/access/witness-safety instead of good-vs-evil,SEQ-01 (proto); SEQ-04 (VS: S1),All,Emergent from dialogue/observe/serve choices,NPC behaviour changes; new testimony or obstruction; witness safety state,Low trust closes options but never ends the game,Surfaced via behaviour+journal text (no colour-only bars),Owner: no karma points/no good-evil meter; SEQ-06 witness safety,P1,proposed
GM-07,Amudhasurabhi Feeding-Logistics,Bowl gives infinite food; player arranges <=5 placeable actions (line/water/hands/animal-edge/level-serving) to solve human+institutional constraints,Core thesis: bowl removes one scarcity and reveals the system,SEQ-04 (VS: S6),04;10,Place/assign diegetic actions in the scene,Crowd/behaviour changes; reach & dignity read from bodies; 'system forms',Serve-only leaves visible unmet need; scene does not clear (partial success),Must avoid spreadsheet; spatial not menu; difficulty reduces constraint count,AD-0139; 04H section 6; RISK-011; food-vessel-and-service-workflow.md; NOT one-button,P1,proposed
GM-08,Dignity / 'Enough' beat,Serve at a person's level and ask what they need; satiety-with-dignity feedback,Primary emotional payoff; recipients as agents not devotional crowd,SEQ-04 (VS: S7),04;10,Kneel-to-level + single-question listen,Body relaxes; 'Enough'; onward information offered if dignity high,Herded/undignified serving withholds trust and onward info,Non-musical-dependent emotional cue; captions for breath/ambient,FU-023; AD-0138; recipient dignity rule; not comic/miraculous theatre,P1,proposed
GM-09,Embedded Playable Memory,Short controllable vignette in another character's past that changes the present decision,Branch-story rule: answer a present question and return changed,SEQ-04 (VS: S3 Aputhiran),03;04;05;08,Constrained subset of core verbs in a memory frame,Unlocks a lesson/mandate in the present; memory-frame visual border,Cannot 'fail' the past; outcomes authored,Clear memory-frame signposting for cognitive accessibility,10A branch rule; 04H (Aputhiran); AD-0141 self-starvation stays tragic (not played),P1,proposed
GM-10,Institutional Intervention/Reform,"Change how an institution treats people (open rooms, hand over authority, make reform legible/durable)",Nonviolent power reorganisation; sustainability of care,SEQ-04 (VS: S8),04;06;07;08;10,Open/convert space; choose a local custodian; optional records action,Institution state changes; custodian persists; reform may later be reversed,Reform left personal/undocumented = decorative charity; may not survive,Custodian-choice UI text-first; avoid overwhelming options,FU-024; EV-0091; RISK-013; VENPA-USE-021/022/023 are PROPOSED not approved,P1,proposed
GM-11,Consequence and Aftermath,Multi-axis snapshot of short- and long-term effects after Manimekalai acts/leaves; never summed,Owner loop step 8; 'what happens after she leaves',SEQ-04 (VS: S9),All,Review aftermath card,Independent axes (trust/access/dignity/reach/sustainability/unintended...),No lose-state; poor aftermath persists into epilogue,Axes as labelled text+icon (no colour-only); readable at large text sizes,Owner: no karma meter; 05 consequence axes,P1,proposed
GM-12,Journal of the Unresolved,Reflect on and record what remains unresolved after a scene/chapter,Ending as commitment not perfection; values honest over optimised play,SEQ-04 (VS: S9),All,Write/select a reflection,Journal entry persists; feeds final epilogue,None,Full text scaling; screen-reader friendly; optional narration,"10A ending 'commitment, not completed perfection'",P2,proposed
GM-13,Bilingual Dialogue and Glossary,Tamil-first dialogue with English support; tap-a-term glossary carrying evidence labels and pronunciation,Tamil cultural specificity without false certainty,SEQ-04 (VS: S1),All,Toggle language; tap term for gloss,Bilingual text; glossary entry with [TEXT]/[INTERPRETATION] label,None,Core to accessibility; Tamil rendering must be correct; pronunciation help,Tamil terminology register + cue policy (10G); label uncertainty; not a claim of certainty,P1,proposed
