evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0195,CAUTION,Exact numerical age and succession status are unresolved,Project methodology,Character bible,"Current research does not establish one verified age title or legal succession position for Udayakumaran",original,approved,"Binding casting dialogue and publicity safeguard"
EV-0196,TEXT,Udayakumaran's conduct is linked to royal duty,Manimekalai,Goddess warning and kingship passage,"The prince is warned through the language of sceptre just rule rain crops and the lives of citizens",citation_only,provisional,"Verify exact Tamil address and political terminology"
EV-0197,TEXT,Seeing Manimekalai initiates pursuit,Manimekalai,Puhar encounter,"Udayakumaran's encounter with Manimekalai produces intense desire and becomes an inciting action in the narrative",citation_only,provisional,"Map exact sequence speech and witnesses"
EV-0198,TEXT,Pursuit continues despite renunciant direction and refusal,Manimekalai,Puhar and later pursuit sequences,"The prince continues seeking access after Manimekalai withdraws and moves toward a renunciant vocation",citation_only,provisional,"Distinguish direct refusal silence concealment and inferred boundary"
EV-0199,TEXT,The goddess offers an unrealised lesson in kingship,Manimekalai,Warning to Udayakumaran,"The warning connects self-rule and just governance but his later conduct does not demonstrate completed transformation",citation_only,provisional,"Do not overstate internal response not supplied by text"
EV-0200,INTERPRETATION,Royal rank multiplies private desire,Project adaptation,Character bible,"Attendants deference information and access can make a prince's private pursuit more consequential than an ordinary person's longing",original,provisional,"Exact mechanisms require historical and textual review"
EV-0201,CAUTION,Sincerity does not create consent,Project methodology,Character bible,"Genuine feeling emotional pain eloquence or persistence cannot override Manimekalai's present choice",original,approved,"Binding screenplay performance music and publicity rule"
EV-0202,TEXT,Previous-life connection complicates present desire,Manimekalai,Rebirth and karmic relationship material,"Past-birth relationships contribute to the narrative explanation of present attachment and causation",citation_only,provisional,"Verify what Udayakumaran knows directly and when"
EV-0203,CAUTION,Previous-life connection creates no present claim,Project methodology,Character bible,"Rebirth memory or karmic relationship cannot be treated as ownership consent or romantic debt in the current life",original,approved,"Binding gender philosophy and publicity rule"
EV-0204,TEXT,Altered identity creates asymmetric knowledge,Manimekalai,Kayasandihai-form sequence,"Manimekalai's altered form changes recognition while Udayakumaran and Kanchanan act with incomplete and unequal information",citation_only,provisional,"Build exact knowledge-state concordance"
EV-0205,TEXT,Kanchanan kills through mistaken perception,Manimekalai,Udayakumaran death sequence,"Kanchanan interprets what he sees through jealousy and incomplete knowledge and kills the prince",citation_only,provisional,"Verify weapon blocking dialogue and immediate sequence"
EV-0206,INTERPRETATION,Death is a multi-agent causal tragedy,Project adaptation,Character bible,"Continued pursuit disguise social relationships mistaken interpretation and lethal action interact without making one person the sole cause",original,provisional,"Requires legal ethical and screenplay causation review"
EV-0207,CAUTION,Death is not deserved punishment or romantic sacrifice,Project methodology,Character bible,"The fatal scene must not celebrate violence as punishment for pursuit or beautify death as proof of pure love",original,approved,"Binding direction music edit and publicity rule"
EV-0208,TEXT,The prince's death drives palace grief and coercion,Manimekalai,Queen and aftermath chapters,"Udayakumaran's death becomes the basis of Rajamadevi's grief and later misuse of palace power against Manimekalai",citation_only,provisional,"Verify court notification and response sequence"
EV-0209,INTERPRETATION,Charisma and unrealised public capacity deepen tragedy,Project adaptation,Character bible,"Showing credible public promise makes his failure of restraint politically consequential without excusing pursuit",original,provisional,"Do not invent achievements or a heroic biography unsupported by text"
