term_id,current_form,source_or_control_basis,internal_classification,external_register_rows,external_review_state,required_output
TERM-TA-001,மணிமேகலை,"SRC-0001; bilingual translation guidelines",EDITORIAL_FORM,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm edition form and performance consistency"
TERM-TA-002,மாதவி,"SRC-0001; bilingual translation guidelines",EDITORIAL_FORM,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm edition form and performance consistency"
TERM-TA-003,சுதமதி,"SRC-0001; bilingual translation guidelines",EDITORIAL_FORM,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm edition form and performance consistency"
TERM-TA-004,சித்திராபதி,"SRC-0001; bilingual translation guidelines",EDITORIAL_FORM,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm edition form and performance consistency"
TERM-TA-005,உதயகுமரன்,"SRC-0001; bilingual translation guidelines",EDITORIAL_FORM,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm edition form and performance consistency"
TERM-TA-006,அறவண அடிகள்,"SRC-0001; SRC-0018; character bible",NAME_LOCK_RANK_OPEN,"SR-001;SR-003;SR-004",READY_FOR_EXTERNAL_REVIEW,"Confirm name grammar honorific rank and institutional range"
TERM-TA-007,தீவதிலகை,"SRC-0001; SRC-0002; inherited English spelling reconciliation",EDITORIAL_RECONCILIATION,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm primary-edition form and English transliteration"
TERM-TA-008,ஆபுத்திரன்,"SRC-0001; SRC-0002; character bible",EDITORIAL_FORM,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm primary-edition form and transliteration"
TERM-TA-009,ஆதிரை,"SRC-0001; SRC-0045; character bible",EDITORIAL_FORM_PERSPECTIVE_LINKED,"SR-001;SR-002;SR-003;SR-007",READY_FOR_EXTERNAL_REVIEW,"Confirm primary and Venpa forms and spoken usage"
TERM-TA-010,காயசண்டிகை,"SRC-0001; SRC-0002; character review",EDITORIAL_FORM,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm primary-edition form and transliteration"
TERM-TA-011,காஞ்சனன்,"SRC-0001; SRC-0002; character bible",EDITORIAL_FORM,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm primary-edition form and transliteration"
TERM-TA-012,இராசமாதேவி,"SRC-0001; bilingual cue policy",EDITORIAL_LOCK_VARIANTS_PROHIBITED,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm edition basis while preserving one screenplay cue"
TERM-TA-013,புண்ணியராசன்,"SRC-0001; SRC-0002; character bible",EDITORIAL_FORM,"SR-001;SR-003",READY_FOR_EXTERNAL_REVIEW,"Confirm primary-edition form and transliteration"
TERM-TA-014,அமுதசுரபி,"SRC-0001; SRC-0002; SRC-0045",EDITORIAL_OBJECT_NAME,"SR-001;SR-002;SR-003;SR-004",READY_FOR_EXTERNAL_REVIEW,"Confirm name form and doctrinal-literary range"
TERM-TA-015,மணிபல்லவம்,"SRC-0001; SRC-0025-SRC-0031 comparative geography",NAME_LOCK_LOCATION_UNRESOLVED,"SR-003;SR-010",READY_FOR_EXTERNAL_REVIEW,"Confirm name while retaining geographic uncertainty"
TERM-TA-016,உலக அறவி,"SRC-0001; SRC-0002; institutional dossiers",EDITORIAL_PLACE_FORM_FUNCTION_OPEN,"SR-001;SR-003;SR-006",READY_FOR_EXTERNAL_REVIEW,"Confirm textual form and avoid overclaiming institution"
TERM-TA-017,இந்திர விழா,"SRC-0001; SRC-0003; early Tamil world dossiers",LOCKED_WITH_HISTORICAL_CAUTION,"SR-003;SR-006",READY_FOR_EXTERNAL_REVIEW,"Confirm textual range and civic-sacral interpretation without later iconographic projection"
TERM-TA-018,பௌத்தத் துறவி,"SRC-0001; SRC-0018; screenplay functional language",PROVISIONAL_DESCRIPTIVE,"SR-001;SR-003;SR-004",READY_FOR_EXTERNAL_REVIEW,"Provide historical dialogue subtitle and scholarship forms"
