character,SEQ-01,SEQ-02,SEQ-03,SEQ-04,SEQ-05,SEQ-06,SEQ-07,SEQ-08,SEQ-09,SEQ-10
Manimekalai,"Defined by others; begins asserting choice","Refuses pursuit; is removed from danger","Fearful, isolated, receives memory and responsibility","Owns testimony; turns vessel into organised service","Confronts karmic claims, disguise risk and the prince's death","Survives custody without accepting false guilt","Names harm and leaves without royal ownership","Tests rebirth against present duty through Punniyarajan","Listens, challenges and learns disciplined inference","Chooses active compassionate practice"
Madhavi,"Renunciation, grief and maternal fear shape the household","Loses sight of her daughter and cannot control events","Receives Sudhamathi's account","Enters Aravana's space as witness and mother","Learns Manimekalai's public path cannot be recalled","Sees royal danger surrounding her daughter","Supports release without repossessing Manimekalai","Offscreen continuity only","Household authority yields to Manimekalai's independent inquiry","Ending allows continued relationship without command"
Sudhamathi,"Practical friend inside the household world","Uses survivor knowledge to read danger and report disappearance","Gives the human account of divine transport","Enters teaching space as an independent witness","Not present at lethal encounter unless explicitly staged","Her testimony becomes politically relevant","Helps prevent private palace resolution from erasing harm","Offscreen continuity only","No invented travel participation unless approved","Independent life remains implied rather than closed"
Udayakumaran,"Introduced as royal possibility and danger","Attraction becomes pursuit despite refusal and warning","Absent while Manimekalai receives memory","Re-enters a world in which her purpose has changed","Treats connection and appearance as entitlement; dies through causal convergence","Death becomes state and family crisis","Remembered without romantic purification","Past consequence informs kingship themes","His errors become examples in reasoning","Desire-to-harm chain is named within causation"
Aravana Adigal,"Receives Madhavi's grief in branch memory","Indirect moral horizon","Absent from island revelation","Listens, interprets Aputhiran and sends the vessel outward","Not a supernatural rescuer","Approaches palace through testimony and access","Applies moral pressure without owning Manimekalai's conscience","Provides conceptual bridge between rebirth and duty","Teaches perception and inference through correction","Connects doctrine to famine and practice"
Chitrapathi,"Defends lineage, livelihood and reputation","Her strategy helps activate royal pursuit","Offscreen","Household consequences remain present","Uses the prince as imagined protection","Seeks release after strategy produces danger","Accepts that survival cannot require possession","Offscreen","Offscreen","Late recognition remains available but not required as a separate scene"
Rajamadevi,"Royal order exists before personal crisis","Offscreen","Offscreen","Prison reform establishes a care standard she later violates","Receives the consequence of her son's conduct","Grief becomes deceptive custody, drugging, defamation and starvation","Recognition is tested until she relinquishes control","Offscreen","Offscreen","Her arc remains a political example of grief corrected by accountability"
Aputhiran,"Foreshadowed through hunger and the vessel tradition","Absent","Present through sacred continuity","Branch life moves from abandonment to service, pride, loss and relinquishment","Absent","Absent","Absent","Reappears as Punniyarajan's previous-life continuity","Becomes evidence that sacred memory needs examination","His service ethic survives in institutions rather than identity replacement"
Aadhirai,"Household and merchant-world context only","Absent","Absent","Survives destructive expectation, negotiates reunion and authorises the first offering","Absent","Absent","Absent","Absent","Absent","Her household act remains the small-scale model for universal feeding"
Kanchanan,"Absent","Absent","Absent","Kayasandihai context is prepared through feeding","Long search becomes mistaken recognition, concealed violence and collapse of certainty","Accountability continues after the killing","No absolution is supplied","Absent","His error becomes a model of failed inference","Causal teaching remembers the cost of untested certainty"
Punniyarajan,"Absent","Absent","Previous-life world is planted","Aputhiran's story establishes the ethical inheritance","Absent","Absent","Absent","Prosperous king confronts prior life and chooses present duty","His resolution frames inquiry as responsibility rather than escape","Governance becomes part of compassionate practice"
