evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0295,TEXT,Punniyarajan is revealed through previous birth,Manimekalai,Chapters 15 and 25,"Aravanar and the Peedihai connect Punniyarajan with Āputhiran's previous life",citation_only,provisional,"Rebirth language must remain within epic framework"
EV-0296,TEXT,Āputhiran reborn in Jāvagam,Manimekalai,Chapter 15,"The text describes Āputhiran as reborn in Jāvagam to save lives of creatures",citation_only,provisional,"Do not collapse previous and present identity"
EV-0297,TEXT,Punniyarajan raised by Bhumichandran,Manimekalai,Chapter 25,"Childless king Bhumichandran raises the child who becomes king of Jāvagam",citation_only,provisional,"Verify names and transliteration"
EV-0298,TEXT,Punniyarajan learns abandonment history,Manimekalai,Chapter 25,"He learns from Amarasundari that Sāli abandoned him as a baby in previous birth",citation_only,provisional,"Handle maternal history carefully"
EV-0299,TEXT,Prosperity follows Punniyarajan's birth,Manimekalai,Chapter 25,"The minister says drought ended and the earth flourished after the king's birth",citation_only,provisional,"Avoid literal modern causation claim"
EV-0300,TEXT,Minister warns against abandoning subjects,Manimekalai,Chapter 25,"Janamithran argues that a king's duty is protecting all lives and leaving would harm creatures",citation_only,provisional,"Central governance conflict"
EV-0301,TEXT,Punniyarajan chooses Manipallavam journey,Manimekalai,Chapter 25,"The king says he cannot control his desire to visit Manipallavam and delegates protection temporarily",citation_only,provisional,"Separate pilgrimage from permanent abdication"
EV-0302,TEXT,Peedihai reveals Aputhiran identity,Manimekalai,Chapter 25,"The Dharma Peedihai shows Punniyarajan his previous birth as Āputhiran",citation_only,provisional,"Memory as revelation not replacement identity"
EV-0303,TEXT,Punniyarajan remembers Amudhasurabhi service,Manimekalai,Chapter 25,"He recalls receiving the vessel and feeding hungry people",citation_only,provisional,"Connect to Aputhiran dossier"
EV-0304,TEXT,Punniyarajan praises compassion of former life,Manimekalai,Chapter 25,"He recognises former service removing hunger through Amudhasurabhi",citation_only,provisional,"Avoid self-glorification interpretation"
EV-0305,CAUTION,Rebirth does not erase present person,Project methodology,Character bible,"Punniyarajan is not a simple continuation of Aputhiran but a king with new relationships and duties",original,approved,"Binding adaptation rule"
EV-0306,INTERPRETATION,King's spiritual crisis is governance test,Project adaptation,Character bible,"His desire for liberation must be balanced against responsibility toward living subjects",original,provisional,"Derived from ministerial warning"
