decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0143,Name cosmological status age and weapon remain unresolved,binding,"The poem identifies Kanchanan through translated Vidyadhara Vinjayan and sky-world language but modern equivalents and material design are uncertain","The production could invent a racial species biography exact age or pseudo-historical sword system","Keep terminology provisional and approve casting costume VFX travel and weapon design only after Tamil religious-history and stunt review","Prevents fantasy shorthand from becoming false historical certainty","EV-0279;EV-0293","Classical Tamil; history of religions; casting; costume; VFX; arms; publicity"
AD-0144,Long care is real but creates no ownership,binding,"Kanchanan supports Kayasandihai during the curse identifies help and returns during Indra festivals","Sympathy for caregiving could be used to imply that she owes recognition obedience intimacy or sexual access","Show tenderness effort and loyalty while making consent identity and autonomy independent of past care","Preserves complexity without converting sacrifice into entitlement","EV-0281;EV-0282;EV-0292","Gender studies; coercive-control review; screenplay; actor preparation"
AD-0145,Kayasandihai retains an independent life cure choice and death,binding,"Kayasandihai narrates her curse receives food directs Manimekalai departs independently and dies beyond Kanchanan's knowledge","She could be reduced to a wife-shaped trigger for male jealousy and remorse","Give her full narrative agency and do not invent infidelity passivity or a reunion that the poem denies","Protects the woman whose identity the disguise borrows","EV-0280;EV-0283;EV-0284","Classical Tamil; gender studies; Kayasandihai dossier; screenplay"
AD-0146,Mistaken identity is built from limited observation not madness,binding,"Kanchanan sees his wife's form unexpected behaviour conversation with the prince and a nighttime return but lacks decisive identity and context information","The scene could use possession magic irrational insanity or audience mockery to avoid examining interpretation","Separate observed facts inferences missing questions and chosen actions in blocking performance and edit","Makes the causal error intelligible while retaining responsibility","EV-0285;EV-0286;EV-0289;EV-0292","Screenplay; performance; cognitive-bias consultant; editor"
AD-0147,Jealousy and wounded expectation do not justify lethal certainty,binding,"Kanchanan interprets apparent rejection and royal intimacy as betrayal","Romantic grammar could present jealousy as devotion or violence as understandable marital honour","Frame jealousy as fear humiliation possessiveness and refusal to tolerate uncertainty and never as proof of love","Protects consent principles and prevents honour-violence romanticisation","EV-0286;EV-0294","Gender-violence specialist; ethics; screenplay; music; publicity"
AD-0148,Concealment and opportunities to stop remain visible,binding,"The poem says Kanchanan enters with a sword hides and waits before the prince's midnight return","A rapid reaction cut could make the killing seem reflexive accidental or unavoidable","Preserve weapon possession concealment duration spatial knowledge and alternatives to striking","Maintains causal and moral clarity without inventing a modern trial","EV-0287;EV-0288;EV-0294","Classical Tamil; stunt; blocking; editor; legal-history review"
AD-0149,The killing is not a heroic duel or defence of marriage,binding,"The supplied translation describes Kanchanan rising behind the returning prince and using the sword","Commercial action staging could invent an equal fight self-defence or noble warning that softens responsibility","Keep the action brief asymmetric and text-controlled and verify the exact wound before choreography","Honours the source and avoids aesthetic reward for lethal jealousy","EV-0288;EV-0294","Classical Tamil; fight choreographer; weapons; safeguarding; director"
AD-0150,Udayakumaran's pursuit and Kanchanan's killing remain separate responsibilities,binding,"The prince returns despite refusal while Kanchanan independently interprets and kills","One man's wrongdoing could be used to absolve the other or form a romantic triangle around a woman's body","Show the prince's boundary violation and Kanchanan's lethal judgement as distinct choices inside a shared causal chain","Preserves multi-agent accountability and Manimekalai's autonomy","EV-0286;EV-0288;EV-0199;EV-0204","Screenplay; gender studies; ethics; Udayakumaran continuity"
AD-0151,Divine revelation explains fate while preserving accountability,binding,"The Kanthil Pavai reveals identity Kayasandihai's death and Udayakumaran's fate while calling Kanchanan's deed cruel and predicting consequence","Selective use of karma could turn murder into predestination or divine acquittal","Retain both causal fate and explicit moral ownership and stage the revelation in sequential destabilising facts","Protects the epic's karmic world without erasing present choice","EV-0289;EV-0290;EV-0294","Buddhist studies; classical Tamil; performance; edit; dialogue"
AD-0152,Sorrowful departure is not completed redemption,binding,"The poem says Kanchanan leaves for the sky world feeling sorry but supplies no restitution reconciliation or later reform","A remorse close-up or invented penance could centre the killer and close the consequences prematurely","End the textual arc with knowledge sorrow and unresolved consequence and label any later scene as interpretation","Preserves the poem's incompleteness and the harmed characters' centrality","EV-0291;EV-0294","Classical Tamil; ethics; screenplay; editor; publicity"
