evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0210,CAUTION,Name age and monastic rank are unresolved,Project methodology,Character bible,"Current research does not establish one final spelling exact numerical age monastic rank lineage or institution for Aravana Adigal",original,approved,"Binding casting costume dialogue and publicity safeguard"
EV-0211,TEXT,Aravana is described as elderly,Manimekalai,Chapter 12,"The translation describes him with white hair and a trembling tongue when Manimekalai Madhavi and Sudhamathi approach",citation_only,provisional,"Verify exact Tamil physical vocabulary and interpretive range"
EV-0212,TEXT,Three women seek his place together,Manimekalai,Chapter 12,"Manimekalai returns with Madhavi and Sudhamathi and they search for and approach Aravana's place",citation_only,provisional,"Verify spatial institutional and relational terminology"
EV-0213,TEXT,He receives Manimekalai's account before teaching,Manimekalai,Chapter 12,"Manimekalai narrates the garden Manipallavam previous births mantras Deepathilahai and the vessel before Aravana responds",citation_only,provisional,"Map exact dialogue sequence and interruptions"
EV-0214,TEXT,He interprets previous-birth relationships,Manimekalai,Chapter 12,"Aravana connects Manimekalai Madhavi and Sudhamathi with earlier births and offers karmic explanation",citation_only,provisional,"Separate textual doctrine emotional effect and present autonomy"
EV-0215,TEXT,He teaches Madhavi after Kovalan's death,Manimekalai,Chapter 2,"Madhavi reports seeking Aravana and receiving teaching concerning desire conduct peace and freedom from repeated birth",citation_only,provisional,"Verify five-offence terminology monastery wording and chronology"
EV-0216,TEXT,He narrates Aputhiran and the vessel,Manimekalai,Chapters 13 to 15,"Aravana tells the life of Aputhiran and explains the history and ethical purpose of the Amudhasurabhi",citation_only,provisional,"Create chapter-level narrative concordance"
EV-0217,TEXT,He directs the vessel toward public hunger,Manimekalai,Chapter 15,"Aravana tells Manimekalai not to hide the vessel and connects it with famine compassion and feeding people",citation_only,provisional,"Central service-before-display evidence"
EV-0218,TEXT,He contributes to Manimekalai's release,Manimekalai,Queen and release material,"Madhavi and Sudhamathi seek Aravana's help and he approaches the queen or palace authority concerning Manimekalai's release",citation_only,provisional,"Verify exact agency access and custody sequence"
EV-0219,TEXT,He travels after the loss of Puhar,Manimekalai,Chapter 29 retrospective,"Aravana says he left Puhar with Manimekalai's mothers and later reached Vanji and Kanchi",citation_only,provisional,"Verify flood chronology route and companion sequence"
EV-0220,TEXT,He teaches perception and inference,Manimekalai,Chapter 29,"After Manimekalai hears rival philosophies Aravana begins a structured Buddhist lesson on valid knowledge including perception and inference",citation_only,provisional,"Requires classical Tamil and Buddhist logic review"
EV-0221,INTERPRETATION,Mentor appears at distinct life transitions,Project adaptation,Character bible,"Aravana functions as receiver of grief interpreter of revelation ethical narrator public advocate displaced elder and final reasoning teacher",original,provisional,"Do not imply continuous surveillance or control"
EV-0222,CAUTION,Age is not weakness or automatic wisdom,Project methodology,Character bible,"White hair and trembling speech cannot be used for comic frailty passivity confusion or unquestioned omniscience",original,approved,"Binding actor movement camera and edit rule"
EV-0223,CAUTION,Teacher statements remain open to contextual review,Project methodology,Character bible,"Karmic gendered social and sectarian statements attributed to Aravana require original-text historical and ethical review rather than automatic endorsement",original,approved,"Binding screenplay philosophy and publicity rule"
EV-0224,CAUTION,No generic pan-Buddhist monk design,Project methodology,Character bible,"Aravana cannot be assigned a modern Theravada Tibetan East Asian or later South Indian monastic visual system without evidence",original,approved,"Binding costume architecture and production-design rule"
EV-0225,INTERPRETATION,Teaching should be dialogic and concrete,Project adaptation,Character bible,"Narrative analogy objects observed conditions and student error can make Aravana's instruction dramatically active",original,provisional,"Requires philosophy dialogue and actor testing"
EV-0226,INTERPRETATION,Palace intervention relies on moral authority,Project adaptation,Character bible,"His influence before Rajamadevi should operate through reputation testimony relationships and ethical pressure rather than supernatural command",original,provisional,"Requires exact textual legal and political review"
