evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0261,CAUTION,Name age caste vocabulary and rebirth casting are unresolved,Project methodology,Character bible,"Current research does not establish one final name etymology numerical age modern caste equivalent or same-actor requirement for Aputhiran and Punniyarajan",original,approved,"Binding casting dialogue translation and publicity safeguard"
EV-0262,TEXT,Sali abandons the newborn in a grove,Manimekalai,Chapter 13 lines around 010,"Sali travels south gives birth at night and leaves the infant in a grove under conditions of fear and social danger",citation_only,provisional,"Verify exact agency danger vocabulary and location"
EV-0263,TEXT,A cow feeds and protects the infant,Manimekalai,Chapter 13 lines around 010 to 020,"A cow hears the baby's cry licks him gives milk and protects him for seven days",citation_only,provisional,"Central animal-care and origin evidence"
EV-0264,TEXT,A learned household adopts and educates him,Manimekalai,Chapter 13 lines around 020,"A Brahmin scholar and his wife take the child as their son perform family rites and teach him extensive learning which he remembers",citation_only,provisional,"Preserve care and later rejection together"
EV-0265,TEXT,Aputhiran protects a cow marked for sacrifice,Manimekalai,Chapter 13 lines around 030 to 050,"He sees a trembling decorated cow intended for sacrifice intervenes and the frightened animal later gores a man and escapes",citation_only,provisional,"Requires exact ritual sequence and animal-welfare review"
EV-0266,TEXT,He argues from the cow's lifelong nourishment,Manimekalai,Chapter 13 lines around 050 to 070,"Aputhiran says the cow ate grass from common land and gave milk to people and asks why it should be harmed",citation_only,provisional,"Verify land gift milk and ethical vocabulary"
EV-0267,TEXT,He challenges birth-based exclusion through learned examples,Manimekalai,Chapter 13 lines around 060 to 100,"Aputhiran invokes revered figures associated with animal or complex births and rejects the claim that ancestry determines moral or learned worth",citation_only,provisional,"Requires original Tamil caste and polemical review"
EV-0268,TEXT,Adoptive belonging collapses under public stigma,Manimekalai,Chapter 13 lines around 090 to 110,"After Sali's story is disclosed his adoptive father expels him villagers call him a cow thief and stones are thrown into his begging pot",citation_only,provisional,"Track public humiliation and prior care"
EV-0269,TEXT,Ordinary feeding precedes the miracle,Manimekalai,Chapter 13 lines around 110 to 115,"In Madurai Aputhiran begs from houses calls blind deaf disabled orphaned and sick people to eat gives them food eats the remainder and sleeps with the pot as pillow",citation_only,provisional,"Core service and recipient-dignity evidence"
EV-0270,TEXT,Sindhadevi entrusts the inexhaustible vessel,Manimekalai,Chapter 14 lines around 010 to 020,"During famine Sindhadevi gives Aputhiran a vessel that remains full and he uses it to feed people animals and birds",citation_only,provisional,"Verify temple identity vessel language and serving mechanics"
EV-0271,TEXT,Aputhiran refuses Indra's reward,Manimekalai,Chapter 14 lines around 020 to 050,"When Indra offers a boon Aputhiran laughs and argues that the joy of removing hunger exceeds heavenly reward",citation_only,provisional,"Preserve courage satire and pride"
EV-0272,TEXT,Abundance removes visible hunger and his social role,Manimekalai,Chapter 14 lines around 050 to 070,"Indra sends rain and prosperity so recipients stop coming and Aputhiran travels through villages asking whether anyone is hungry while people mock him",citation_only,provisional,"Prosperity remains socially good"
EV-0273,INTERPRETATION,Service identity becomes dependent on visible need,Project adaptation,Character bible,"Aputhiran's ordinary and miraculous feeding become so central to belonging that the disappearance of recipients destabilises his sense of personal worth",original,provisional,"Actor-facing interpretation not clinical diagnosis"
EV-0274,TEXT,He sails toward famine in Javaka,Manimekalai,Chapter 14 lines around 070 to 080,"Ship travellers report people and creatures dying in a Javaka famine and Aputhiran immediately boards with the vessel to help",citation_only,provisional,"Verify geography crew route and urgency"
EV-0275,TEXT,The ship leaves him on Manipallavam,Manimekalai,Chapter 14 lines around 080 to 090,"A storm causes a stop at Manipallavam and the ship departs at night because travellers mistakenly believe Aputhiran has returned aboard",citation_only,provisional,"Build exact knowledge and landing continuity"
EV-0276,TEXT,He entrusts the vessel to future compassionate hands,Manimekalai,Chapter 14 lines around 090 to 100,"Finding no recipients Aputhiran places the Amudhasurabhi in Gomukhi pond and directs it to appear for a compassionate protector of life",citation_only,provisional,"Central relinquishment rather than ownership evidence"
EV-0277,TEXT,Aputhiran fasts and relinquishes his life,Manimekalai,Chapter 14 ending,"After placing the vessel in the pond Aputhiran undertakes a fast and dies on Manipallavam",citation_only,provisional,"Requires exact death vocabulary and safeguarding review"
EV-0278,CAUTION,Sacred self-relinquishment is not a universal ethical prescription,Project methodology,Character bible,"The adaptation must preserve the poem's karmic meaning while refusing to present self-starvation as the required proof of compassion or a practical solution to purposelessness",original,approved,"Binding direction music edit publicity and safeguarding rule"
