decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0091,Exact age and social-status terminology remain unresolved,binding,"The poem presents Sudhamathi as a capable woman and close companion but current research has not fixed her numerical age or exact social category","Casting or publicity could invent an age or silently classify her as servant friend or dependent","Cast an adult performer and keep relationship terminology provisional until Tamil and historical review","Protects textual honesty performer safety and social accuracy","EV-0180;EV-0187;EV-0188","Classical Tamil; gender history; casting; safeguarding"
AD-0092,Sudhamathi owns her survivor narrative,binding,"She recounts separation danger abandonment and household collapse","Her story could be shortened into exposition completed by other characters or used only to motivate Manimekalai","Give her control over the pace detail and limits of testimony and preserve aftermath and continuing judgement","Prevents instrumentalising a survivor and gives the character narrative authority","EV-0181;EV-0182;EV-0192","Classical Tamil; trauma consultant; intimacy coordinator; screenplay"
AD-0093,Sudhamathi is not a sidekick or exposition device,binding,"She acts as companion witness planner and bearer of experience","Compression could reduce her to warning comic relief messenger or devotional admirer","Give her independent perceptions choices disagreements and consequences in every retained sequence","Preserves personhood and strengthens the film's ordinary human perspective","EV-0180;EV-0184;EV-0191","Screenplay; director; actor preparation; editor"
AD-0094,Vigilance is skilled perception not cowardice,binding,"Her past gives practical knowledge of danger status routes and loss of witnesses","Performance shorthand could make her nervous weak or irrational beside a spiritually courageous heroine","Stage warning through observable evidence and concrete decisions while allowing uncertainty and error","Respects survival knowledge without making it infallible","EV-0183;EV-0190","Trauma review; screenplay; performance; cinematography"
AD-0095,Violence is represented through consequence and survival,binding,"Sudhamathi's history contains coercive danger abandonment injury and poverty","Flashbacks could eroticise pursuit centre the aggressor or use suffering as spectacle","Prioritise disorientation decisions bodily and economic aftermath testimony and recovery under documented intimacy protocols","Aligns form with survivor ownership and avoids exploitative imagery","EV-0181;EV-0182;EV-0192","Intimacy coordinator; trauma consultant; director; editor; legal"
AD-0096,Friendship includes disagreement and mutual protection,binding,"Sudhamathi and Manimekalai share danger information trust and companionship","Their relationship could become one-way service or unquestioning admiration","Write reciprocal care humour correction conflict and moments where each woman permits the other to choose","Makes friendship dramatically active and avoids hierarchy by default","EV-0180;EV-0191","Classical Tamil; gender studies; screenplay; actor rehearsal"
AD-0097,Protectiveness must not become control,binding_provisional,"Sudhamathi often recognises danger earlier and may feel responsible after prior loss","The adaptation could reward surveillance restriction or command as the only proof of care","Allow strong warnings and practical intervention but preserve Manimekalai's agency and show Sudhamathi confronting the limits of prevention","Creates a mature friendship arc consistent with the project's autonomy principles","EV-0183;EV-0191;EV-0193","Screenplay; trauma review; gender studies; director"
AD-0098,Her voice remains concrete credible and capable of humour,binding_provisional,"Sudhamathi must communicate danger testimony and ordinary companionship","A uniformly fearful or solemn voice would reduce her to trauma while comic-sidekick writing would trivialise her experience","Use practical specificity under danger controlled authorship in testimony and private warmth or dry humour in safety","Makes development audible and preserves emotional range","EV-0189;EV-0190;EV-0191","Dialogue; actor preparation; classical Tamil; editor"
AD-0099,Later appearances require explicit adaptation logging,binding,"The poem may not follow Sudhamathi across every later geographical or philosophical episode","The screenplay could silently make her accompany Manimekalai everywhere or invent historical actions as textual fact","Label each post-Puhar expansion as interpretation and record its function evidence and continuity cost","Protects source traceability while allowing justified cinematic continuity","EV-0185;EV-0186;EV-0194","Classical Tamil; adaptation editor; continuity; screenplay"
AD-0100,Her ending preserves a life beyond the heroine's function,binding_provisional,"Sudhamathi's dramatic value extends beyond warning and explaining Manimekalai","She could disappear once the protagonist enters sacred and philosophical material","Provide a final beat showing her own relationship responsibility choice or continuing life without falsely inventing a complete textual destiny","Prevents narrative abandonment and honours the character's independent agency","EV-0189;EV-0191;EV-0194","Screenplay; classical Tamil; gender studies; editor"}
