evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0227,TEXT,Chitrapathi connected to Madhavi household,Manimekalai,Chapters 1-2,"Chitrapathi is identified as Madhavi's mother and belongs to the artistic household context",citation_only,provisional,"Verify exact kinship terminology"
EV-0228,TEXT,Chitrapathi notices festival absence,Manimekalai,Chapter 1-2,"She notices Madhavi and Manimekalai do not attend Indra festival and sends Vasanthamālai",citation_only,provisional,"Establish reputation and household continuity function"
EV-0229,TEXT,Performing women possess extensive training,Manimekalai,Chapter 2,"The epic describes arts and skills associated with women performers including music dance and related knowledge",citation_only,provisional,"Avoid reducing performance to sensual display"
EV-0230,TEXT,Chitrapathi approaches Udayakumaran,Manimekalai,Chapter 18,"Chitrapathi goes to Udayakumaran after hearing of Manimekalai's renunciation",citation_only,provisional,"Clarify exact persuasion sequence"
EV-0231,TEXT,Chitrapathi tells stories before the prince,Manimekalai,Chapter 18,"She uses narratives and social reasoning while speaking with Udayakumaran",citation_only,provisional,"Separate persuasion from sole causation"
EV-0232,TEXT,Chitrapathi seeks queen's help,Manimekalai,Chapter 24,"She goes to the queen and asks for Manimekalai's release",citation_only,provisional,"Central accountability scene"
EV-0233,TEXT,Chitrapathi preserves household memory,Manimekalai,Chapters 1-24,"Her actions are connected to lineage reputation and survival of an artistic family",citation_only,provisional,"Production interpretation requires care"
EV-0234,INTERPRETATION,Security through patronage worldview,Project adaptation,Character bible,"Chitrapathi interprets elite relationships as protection in a vulnerable social environment",original,provisional,"Do not present as historical biography"
EV-0235,INTERPRETATION,Protection becomes possession,Project adaptation,Character bible,"Her survival strategy becomes harmful when imposed on Manimekalai's autonomous vocation",original,provisional,"Central character contradiction"
EV-0236,CAUTION,Not a generic villain,Project methodology,Character bible,"Chitrapathi should not be reduced to jealous elder stereotype",original,approved,"Binding performance rule"
EV-0237,CAUTION,Not all performing women share one identity,Project methodology,Character bible,"Her household experience cannot define all ancient Tamil performers",original,approved,"Avoid social flattening"
EV-0238,INTERPRETATION,Udayakumaran retains agency,Project adaptation,Character bible,"Her influence is one factor in the prince's pursuit but his choices remain his responsibility",original,approved,"Prevents single-cause tragedy"
EV-0239,INTERPRETATION,Queen plea as accountability,Project adaptation,Character bible,"Her humiliation before the queen demonstrates consequences and responsibility",original,provisional,"Requires palace sequence review"
EV-0240,INTERPRETATION,Generational conflict,Project adaptation,Character bible,"Chitrapathi and Madhavi represent different responses to the same social pressures",original,provisional,"Requires gender-history review"
EV-0241,CAUTION,Ornament is not moral judgement,Project methodology,Character bible,"Costume and wealth cannot visually label Chitrapathi as corrupt",original,approved,"Production-design rule"
EV-0242,INTERPRETATION,Freedom as another survival strategy,Project adaptation,Character bible,"Chitrapathi's final growth is recognition that Manimekalai's path can also protect life",original,provisional,"Character ending decision"
