decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0071,Exact age remains unresolved and casting uses an adult performer,binding,"The text presents Manimekalai as a young woman but current research has not established one verified numerical age","Publicity may invent an exact age or production may place a minor performer in coercive pursuit and confinement material","Do not state an exact age before philological review and cast an adult performer for the principal role","Protects textual honesty and performer safeguarding","EV-0148","Classical Tamil; casting; legal; safeguarding"
AD-0072,Central arc moves from defensive refusal to chosen obligation,binding_provisional,"Manimekalai rejects an assigned future and later accepts feeding inquiry and discipline","The character could remain reactive or be treated as passively carried by sacred events","Structure the arc so refusal protects autonomy while chosen service and inquiry create mature agency","Gives the protagonist active development without weakening renunciation","EV-0150;EV-0152;EV-0158","Screenplay; classical Tamil; gender studies; director"
AD-0073,Compassion includes fear anger fatigue and grief,binding,"The narrative places Manimekalai inside pursuit public service death confinement famine and philosophical struggle","A saintly performance could erase human cost and make compassion emotionally inert","Allow fear anger exhaustion grief and uncertainty while showing compassion as repeated disciplined action","Makes ethical growth playable and prevents devotional flattening","EV-0153;EV-0155;EV-0156;EV-0162","Actor preparation; trauma review; Buddhist studies; director"
AD-0074,Revelation does not create instant omniscience,binding,"Manipallavam supplies past-life and sacred knowledge before later reasoning instruction","The heroine could speak with complete doctrinal authority before earning intellectual development","Preserve disorientation partial understanding questions correction and knowledge continuity across acts","Protects dramatic progression from revelation to disciplined inquiry","EV-0151;EV-0157","Classical Tamil; Buddhist studies; dialogue; continuity"
AD-0075,Supernatural abilities reject superhero grammar,binding,"The epic includes divine transport memory protective formulae transformations and an inexhaustible vessel","Spectacle could remove bodily vulnerability responsibility and institutional stakes","Give each capacity distinct limits consequences and emotional effects and never use magic to erase labour blame or fear","Keeps the sacred world serious and aligned with the epic's moral centre","EV-0152;EV-0154;EV-0159","VFX; screenplay; stunt; religious studies; publicity"
AD-0076,Previous-life memory does not erase the present self,binding_provisional,"Past births explain relationships and causation but Manimekalai continues to make choices in her current life","The character could become only the continuation of an earlier identity or romance","Treat memory as inherited knowledge that complicates but does not overrule present consent identity or responsibility","Preserves present autonomy and dramatic accountability","EV-0151;EV-0155","Buddhist studies; classical Tamil; gender studies; screenplay"
AD-0077,Voice evolves from protective economy to disciplined inquiry,binding_provisional,"Her situations move from dangerous public scrutiny to service confrontation and philosophical study","One uniform wise poetic voice would erase age development and context","Use short guarded speech in early danger operational clarity in service moral precision after tragedy and structured questions in the final act","Makes intellectual and emotional growth audible","EV-0160","Dialogue; actor preparation; classical Tamil; editor"
AD-0078,Body retains artistic household history,binding_provisional,"Manimekalai grows within Madhavi's trained performance environment even while rejecting the assigned profession","Renunciation could be represented as complete bodily amnesia or the film could falsely give her modern recital choreography","Retain plausible rhythm balance spatial intelligence and controlled gesture without claiming unsupported professional mastery or modern Bharatanatyam form","Connects lineage to performance while respecting uncertainty","EV-0104;EV-0161","Performance history; movement coach; classical Tamil; choreography"
AD-0079,Service has bodily and institutional cost,binding,"The vessel is inexhaustible but feeding depends on repeated handling crowd care water sanitation and organisation","The heroine could appear effortlessly benevolent while invisible workers carry all cost","Show fatigue learning mistakes coordination and dependence on other workers and recipients","Turns compassion into social practice rather than magical image","EV-0067;EV-0152;EV-0153","Food service; public health; actor continuity; crowd direction"
AD-0080,Ending represents continuing practice not emotional extinction,binding,"The final chapters move toward disciplined understanding and release without proving that the living character becomes an empty icon","The ending could freeze her into colourless silence or imply that liberation means no further feeling or relation","End with earned alert stillness and continuing ethical practice rather than vacancy final perfection or withdrawal from embodied life","Preserves openness and the character's accumulated relationships","EV-0157;EV-0162","Buddhist studies; classical Tamil; director; editor; performance"
