decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0061,Beauty never functions as consent,binding,"Manimekalai is repeatedly described as beautiful and publicly visible while others act on their desire","The camera could imply that adornment performance training or beauty invites pursuit","Separate her appearance from others' entitlement and never frame beauty or visibility as consent","Protects character autonomy and prevents the film from reproducing the prince's assumption","EV-0132;EV-0146","Classical Tamil; gender studies; director; cinematography; intimacy coordinator"
AD-0062,Udayakumaran's persistence is not romantic proof,binding,"The prince continues pursuit despite Manimekalai's chosen direction","Romance conventions could reward persistence and convert refusal into hidden desire","Stage his longing seriously but treat continued pursuit as failure to respect present autonomy","Preserves tragedy without endorsing coercive romance","EV-0122;EV-0132;EV-0146","Screenplay; classical Tamil; gender review; performance"
AD-0063,Courtesan remains a provisional translation category,binding,"English translations use courtesan for Madhavi's and Chitrapathi's professional world","Production shorthand could collapse distinct institutions across centuries","Use the term only with an uncertainty note and approve no devadasi prostitution concubinage or caste equivalence before specialist review","Prevents chronological and social misclassification","EV-0104;EV-0130;EV-0131;EV-0142","Classical Tamil; performance history; gender and labour history; publicity"
AD-0064,Three generations are competing strategies not moral types,binding,"Madhavi Chitrapathi and Manimekalai make different choices around lineage livelihood grief religion and elite patronage","One could become the liberated woman another the fallen woman and another the villainous elder","Give each woman material reasons intellectual dignity and accountability while keeping their conflicts real","Creates intergenerational drama without moral caricature","EV-0130;EV-0131;EV-0145","Classical Tamil; gender history; performance history; screenplay"
AD-0065,Female renunciation is chosen disciplined vocation,binding_provisional,"Manimekalai and Madhavi turn toward ascetic life under different conditions","Renunciation could be framed as disgust with sexuality or a simple escape from womanhood","Show renunciation as disciplined reorganisation of obligation identity and service while retaining uncertainty about institutional status","Preserves spiritual agency without anti-body rhetoric","EV-0023;EV-0130;EV-0143","Buddhist studies; classical Tamil; monastic history; costume; actor preparation"
AD-0066,Sudhamathi owns her survival narrative,binding,"Sudhamathi recounts danger abandonment and family collapse and later acts as companion and strategist","Her suffering could become exposition for the heroine or eroticised flashback violence","Give her narrative time point of view aftermath judgement and continuing agency under trauma-informed protocols","Prevents instrumentalising a survivor","EV-0133;EV-0145","Classical Tamil; trauma consultant; intimacy coordinator; screenplay"
AD-0067,Female divine authority is differentiated and nondecorative,binding,"Female divine figures transport warn instruct and transfer responsibility","They could become interchangeable glowing helpers or maternal stereotypes","Design each figure through distinct place knowledge speech timing and moral authority rather than sexualised spectacle","Keeps women as agents of cosmology and ethical change","EV-0135","Classical Tamil; religious history; production design; VFX; costume"
AD-0068,Gendered disguises are serious strategies,binding,"Manimekalai assumes Kayasandihai's form and later a sage or male form","Transformation scenes could become comedy costume gimmick or publicity claims about modern identity categories","Treat disguise as embodied access risk and ethical complication and avoid comic or anachronistic identity framing","Preserves the narrative function while protecting contemporary communities from false claims","EV-0136;EV-0137;EV-0144","Classical Tamil; gender studies; performance; VFX; sensitivity review"
AD-0069,Women-to-women knowledge networks remain visible,binding,"Women carry warnings resources family history political access training and survival strategies throughout the epic","Compression could leave women speaking only about men or romantic desire","Preserve consequential conversations and exchanges among women that alter action institutions and interpretation","Maintains the epic's distributed female agency","EV-0133;EV-0135;EV-0138;EV-0139","Screenplay; classical Tamil; editor; character department"
AD-0070,Female agency includes accountability,binding,"Chitrapathi Rajamadevi and other women may reproduce coercive systems while acting from grief dependence or status","A gender-conscious adaptation could excuse harmful female actions or turn them into misogynistic proof","Show motive constraint power consequence and accountability without denying grief or structural pressure","Avoids both idealisation and demonisation","EV-0124;EV-0131;EV-0134;EV-0145","Gender studies; ethics; screenplay; actor preparation; trauma review"
