asset_id,shot_ids,sequence_id,filename,asset_type,generation_or_creator,creation_date,prompt_record,evidence_ids,adaptation_decision_ids,visual_classification,human_review_status,specialist_review_rows,rights_status,sha256,notes
SB-ASSET-001,SB-001-1,SEQ-01,assets/sequence-01/SB-001-1_puhar-festival-dawn_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-001-1_puhar-festival-dawn.md,"EV-0005;EV-0007;EV-0008;EV-0010;EV-0027;EV-0033;EV-0103;EV-0104;EV-0119","AD-0003;AD-0005;AD-0006;AD-0009;AD-0047;AD-0048",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-006;SR-010;SR-011;SR-012",PENDING_SR_013,894902a657a900121c64bda13006c3529ad470a6aa487c482428cf688b13a17b,"Corrected after rejecting tower and European-rig defects; not historically approved"
SB-ASSET-002,SB-015-2,SEQ-03,assets/sequence-03/SB-015-2_manipallavam-memory-pond_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-015-2_manipallavam-memory-pond.md,"EV-0070;EV-0071;EV-0072;EV-0073;EV-0088;EV-0091","AD-0032;AD-0033;AD-0037;AD-0074;AD-0076",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-003;SR-004;SR-010;SR-011",PENDING_SR_013,0b79877da13c8a077852838298b31024c90d1718a9bdc0691a8577ab3f023d94,"Regional island-zone hypothesis; no exact modern location claim"
SB-ASSET-003,SB-031-2,SEQ-04,assets/sequence-04/SB-031-2_aadhirai-first-offering_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-031-2_aadhirai-first-offering.md,"EV-0315;EV-0316;EV-0318;EV-0052;EV-0049;EV-0064;EV-0054","AD-0165;AD-0168;AD-0169;AD-0022;AD-0023;AD-0024;AD-0030;AD-0170",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-002;SR-003;SR-007;SR-011",PENDING_SR_013,b6fefa287861e9dc78caaebd7cec13f7caa8113ee095eb0d177c4b05596851e9,"Corrected modern tailoring and polished serviceware; food and costume remain specialist-open"
SB-ASSET-004,SB-071-2,SEQ-10,assets/sequence-10/SB-071-2_kanchi-relief-centre_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-071-2_kanchi-relief-centre.md,"EV-0049;EV-0060;EV-0067","AD-0023;AD-0024;AD-0029",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-004;SR-006;SR-007;SR-011",PENDING_SR_013,8e31b51ff9ae2b179e746578eb40df772be56b4997dfdda569df8b96e59636a2,"Systemic relief concept; institutions materials and costume remain specialist-open"
SB-ASSET-005,SB-010-2,SEQ-02,assets/sequence-02/SB-010-2_refusal-boundary_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-010-2_refusal-boundary.md,"EV-0132;EV-0146;EV-0122;EV-0149;EV-0150;EV-0161;EV-0184;EV-0191;EV-0198;EV-0201","AD-0057;AD-0061;AD-0062;AD-0078;AD-0096;AD-0097;AD-0101;AD-0103",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-002;SR-006;SR-008;SR-011",PENDING_SR_013,e493850ff0606fbe787e20fd1474f9efa2a4d7ef4425526b09052e13620564ee,"Refusal-centred blocking; pavilion material costume and location remain specialist-open"
SB-ASSET-006,SB-039-2,SEQ-05,assets/sequence-05/SB-039-2_incomplete-sightline_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-039-2_incomplete-sightline.md,"EV-0286;EV-0204;EV-0205","AD-0146;AD-0147;AD-0150;AD-0105",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-002;SR-006;SR-008;SR-011",PENDING_SR_013,36983e5565dc81f00b096f1fc1d79c6ffb7399cb5949628a4e301918d9c4b72c,"Incomplete sightline concept; visual form of disguise architecture and costume remain specialist-open"
SB-ASSET-007,SB-049-2,SEQ-06,assets/sequence-06/SB-049-2_room-without-food_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-049-2_room-without-food.md,"EV-0251;EV-0259;EV-0048;EV-0057;EV-0156;EV-0159;EV-0162","AD-0128;AD-0021;AD-0026;AD-0028;AD-0069;AD-0070;AD-0073",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-006;SR-007;SR-008;SR-011",PENDING_SR_013,8c1fd5100b365fbf8dbec4529506e4aa957ee566562a90110b92ddbf241d4fb5,"Institutional starvation concept; penal architecture records vessels and costume remain specialist-open"
SB-ASSET-008,SB-053-2,SEQ-07,assets/sequence-07/SB-053-2_queen-steps-aside_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-053-2_queen-steps-aside.md,"EV-0257;EV-0258;EV-0122;EV-0123;EV-0156;EV-0171;EV-0179","AD-0131;AD-0132;AD-0056;AD-0059;AD-0083;AD-0086;AD-0090",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-002;SR-006;SR-008;SR-011",PENDING_SR_013,aef761168c8b4f88a0e8a687c0c9ce750fe83d25bf812d76027cb26ca1c7b1f4,"Relinquishment blocking concept; character differentiation architecture and costume remain specialist-open"
SB-ASSET-009,SB-059-2,SEQ-08,assets/sequence-08/SB-059-2_return-as-governance_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-059-2_return-as-governance.md,"EV-0301;EV-0305;EV-0306;EV-0299;EV-0300","AD-0158;AD-0161;AD-0153;AD-0155;AD-0156;AD-0162",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-006;SR-007;SR-010;SR-011",PENDING_SR_013,1a62d5f119bd567cb7a169dd0165ea011f5bd190f5d3159151ac6afaac9263d6,"Governance planning concept; harbour tools measures vessel and costume remain specialist-open"
SB-ASSET-010,SB-064-2,SEQ-09,assets/sequence-09/SB-064-2_materialist-challenge_v1.png,generated_concept_frame,"OpenAI built-in image generation",2026-07-29,prompts/SB-064-2_materialist-challenge.md,"EV-0038;EV-0044;EV-0047","AD-0015;AD-0017;AD-0020",[INTERPRETATION],INTERNAL_REVIEW_COMPLETE,"SR-003;SR-004;SR-006;SR-011",PENDING_SR_013,54e23dbbcd5a17e98dfe0d71ac5dfe9f4a92770a3e7b2d380cec39154f540f0a,"Serious debate concept; school markers objects architecture and assumed presentation remain specialist-open"
