decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0123,Exact age office and authority remain unresolved,binding,"The text establishes queenly status and actions but not modern legal categories","Production could invent constitutional powers or a complete biography","Keep age office and custody authority provisional until textual and historical review","Maintains evidence discipline","EV-0243","Classical Tamil; political history; costume; production"
AD-0124,Rajamadevi is grieving mother and accountable political actor,binding,"Her son dies and she performs harmful actions through royal access","A tragic mother reading could excuse abuse while a villain reading erases grief","Hold love grief responsibility and power together","Preserves moral complexity","EV-0244;EV-0251","Screenplay; actor; ethics"
AD-0125,Public protection cannot conceal private punishment,binding,"She argues for Manimekalai's release before arranging harm","The audience could miss the transformation of custody into control","Stage the public-private contradiction clearly","Shows how institutional power operates","EV-0246;EV-0247;EV-0248","Screenplay; direction"
AD-0126,Three coercive attempts remain distinct,binding,"The queen uses drugging fabricated reputation and starvation in separate actions","Combining them into one vague villain act weakens causality and accountability","Show each mechanism separately with responsible review","Preserves the poem's escalating structure","EV-0249;EV-0250;EV-0251","Writing; safeguarding; production"
AD-0127,Sexual-reputation violence is not eroticised,binding,"The false accusation weaponises social reputation","Visual treatment could reproduce the harm or centre the accusation","Focus on fabrication power shame and survival rather than spectacle","Protects Manimekalai and maintains ethical representation","EV-0250;EV-0255","Intimacy coordination; direction"
AD-0128,Starvation is an institutional order,binding,"Servants are ordered not to feed Manimekalai","Treating it as private anger hides systems and intermediaries","Show rooms servants orders and silence while retaining queen responsibility","Connects hunger ethics and state power","EV-0251;EV-0259","Food research; production design; screenplay"
AD-0129,Karma does not make Udayakumaran deserve death or excuse the queen,binding,"Manimekalai explains previous births and actions","The scene could become victim blame or legal defence","Separate karmic causation from punishment and accountability","Preserves Buddhist framework without moral simplification","EV-0254","Buddhist studies; ethics; dialogue"
AD-0130,Apology does not erase accountability,binding,"Queen bows and asks forgiveness","The film could demand that the harmed person immediately restore the relationship","Permit recognition without forced emotional closure","Protects Manimekalai's autonomy","EV-0253;EV-0260","Gender review; actor; editor"
AD-0131,Keeping Manimekalai after recognition remains ambiguous,binding,"Queen refuses Chitrapathi's request and says Manimekalai should remain with her","A benevolent reading could ignore continued possession","Play protection and control together until free departure","Maintains complexity","EV-0256","Screenplay; gender studies"
AD-0132,Rajamadevi's mature act is relinquishing control,binding,"Manimekalai later announces departure after Aravana's teaching","A final embrace could turn transformation into adoption or ownership","Show space made for Manimekalai's independent path","Completes character movement","EV-0257;EV-0258;EV-0260","Final act writing; direction"
