design_id,design_family,scope,evidence_foundation,interpretation_boundary,prohibited_default,specialist_rows,status,next_deliverable
PD-001,Puhar urban system,"Harbour river landing warehouses occupational streets homes public institutions","03A;03C;03H;03I and linked EV/AD records","Distributed water-dependent port-city reconstruction","Fantasy stone megacity or later monumental city","SR-006;SR-010",FOUNDATION_READY,"Scaled zone map with uncertainty legend"
PD-002,Indra festival,"Civic routes proclamation decoration crowds debate and royal responsibility","03B and early Tamil textual records","Early Tamil civic-sacral gathering","Automatic later devotional iconography","SR-003;SR-006",FOUNDATION_READY,"Procession and public-space sequence map"
PD-003,Maritime vessels,"River craft transfer boats coastal and ocean-going vessels","03C;03G and comparative maritime sources","Separate vessel classes without exact Puhar hull claim","One universal ancient ship or Roman-colonial port","SR-010",SPECIALIST_PACKET_READY,"Silhouette family with confidence labels"
PD-004,Architecture and water,"Brick timber roofing wells ponds tanks channels storage and drainage","03H and linked archaeology","Functional reconstruction by location and access","Medieval towers aqueduct fantasy or modern planning","SR-006;SR-010",FOUNDATION_READY,"Puhar Vanji Kanchi comparative plates"
PD-005,Costume and textiles,"Occupation status age movement performance and renunciation","03D and character bibles","Historically informed costume families","Modern Bharatanatyam fan costume or imperial-Chola default","SR-011",SPECIALIST_PACKET_READY,"Layered costume sheets by character and occupation"
PD-006,Jewellery and ornament,"Shell glass gold beads stone and working adornment","03D and material-culture evidence","Material possibilities rather than complete exact sets","Uniform temple-jewellery package","SR-011",SPECIALIST_PACKET_READY,"Material and movement test board"
PD-007,Food and vessels,"Aadhirai household meal public serving water storage cleaning and access","03F;04K;Venpa decisions","Prepared food and human generosity precede inexhaustibility","Definitive ancient menu or glowing magical cauldron","SR-002;SR-003;SR-007",WORKFLOW_PLATE_0_1_READY,"Run household public-service prison and Kanchi blocking tests then obtain specialist review"
PD-008,Amudhasurabhi,"Portable entrusted service vessel across private public prison and famine contexts","03F;Aputhiran and Manimekalai bibles","Miracle shown through continued portions","Treasure prop jewel overload or autonomous solution","SR-003;SR-004;SR-007",CONTINUITY_PLATE_0_1_READY,"Build two rehearsal prototypes and complete actor camera food-safety and specialist tests"
PD-009,Music and performance,"Festival household trained performance debate grief and service","Historical-world and character foundations","Distinct social functions and acoustic spaces","Generic devotional score or modern classical-stage default","SR-001;SR-003",RESEARCH_OPEN,"Instrument and acoustic evidence dossier"
PD-010,Weapons and guards,"Royal escort custody Kanchanan violence and restraint","Kingship architecture and character dossiers","Weapons as tools with consequence not status spectacle","Fantasy arsenal or heroic honour framing","SR-006;SR-012",RESEARCH_OPEN,"Guard and weapon handling sheet"
PD-011,Ecology and season,"Kaveri delta coast island routes rainfall drought famine and recovery","03F;03G;03H and geography evidence","Seasonal continuity with explicit uncertainty","One static tropical backdrop","SR-006;SR-010",CALENDAR_0_1_READY,"Scene-level department breakdown and specialist review"
PD-012,Animal work and care,"Cow elephants horses draft labour and urban animal presence","Historical world and Aputhiran dossier","Welfare-led practical and composited staging","Real distress dangerous restraint or revenge comedy","SR-012",SPECIALIST_PACKET_READY,"Animal action and welfare plan"
