scene_id,working_scene_title,location,time_period,dramatic_function,evidence_ids,adaptation_decision_ids,status
SC-054,Three Women Three Futures,Madhavi household in Puhar,Act I,"Stage Madhavi Chitrapathi and Manimekalai as competing intergenerational strategies around livelihood lineage grief and renunciation","EV-0130;EV-0131;EV-0142;EV-0145","AD-0063;AD-0064;AD-0065;AD-0070",concept
SC-055,The Gaze Arrives Before the Prince,Puhar flower garden and public route,Act I,"Show Manimekalai becoming socially visible and watched before Udayakumaran enters without making the camera share entitlement","EV-0021;EV-0024;EV-0132;EV-0140;EV-0146","AD-0061;AD-0062",concept
SC-056,Sudhamathi Tells Her Own Story,Protected garden shelter,Act I,"Give Sudhamathi narrative ownership of danger abandonment and household collapse and establish her later strategic caution","EV-0133;EV-0145","AD-0066;AD-0069",concept
SC-057,Chitrapathi Counts the Cost,Performance household accounts and rehearsal space,Act I,"Reveal dependants training investment prestige and fear behind Chitrapathi's coercive effort to preserve continuity","EV-0104;EV-0131;EV-0142;EV-0145","AD-0048;AD-0063;AD-0064;AD-0070",concept
SC-058,No Is Not a Riddle,Crystal pavilion and pursuit route,Act I,"Make the prince confront a refusal that romance convention cannot convert into invitation","EV-0132;EV-0146","AD-0057;AD-0061;AD-0062",concept
SC-059,The Goddess Chooses Her,Puhar night and passage to Manipallavam,Act I to Act II,"Give female divine authority control over warning geography memory and responsibility without decorative spectacle","EV-0068;EV-0135","AD-0036;AD-0067",concept
SC-060,Wearing Another Woman's Life,Ulaga Aravi and Sambapathi precinct,Act II,"Make the Kayasandihai form carry another woman's reputation marriage and danger rather than work as a costume trick","EV-0026;EV-0136;EV-0144","AD-0068;AD-0070",concept
SC-061,The Sage's Voice,Vanji teaching quarter,Act III,"Show how posture voice costume and social recognition alter Manimekalai's access to philosophical authority","EV-0036;EV-0137;EV-0144","AD-0019;AD-0068;AD-0069",concept
SC-062,A Mother's Orders,Rajamadevi's palace,Act II,"Show grief becoming delegated coercion through attendants confinement deprivation and attempted discrediting","EV-0057;EV-0124;EV-0134;EV-0145","AD-0026;AD-0066;AD-0070",concept
SC-063,Women Speak After the Prince,Rajamadevi's palace after confrontation,Act II,"Allow Manimekalai and Rajamadevi to confront grief harm responsibility and recognition without erasing the queen's actions","EV-0124;EV-0125;EV-0134;EV-0145","AD-0058;AD-0069;AD-0070",concept
