evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0180,TEXT,Sudhamathi accompanies Manimekalai in Puhar,Manimekalai,Flower garden sequence,"Sudhamathi moves with Manimekalai through public space and participates in decisions around route safety and concealment",citation_only,provisional,"Verify exact actions and relationship terminology"
EV-0181,TEXT,Sudhamathi narrates an earlier ordeal,Manimekalai,Sudhamathi narrative,"Her account includes separation danger abandonment and loss of security",citation_only,provisional,"Create line-level Tamil concordance and distinguish explicit from translated detail"
EV-0182,TEXT,Father's injury contributes to household collapse,Manimekalai,Sudhamathi narrative,"Her father's bodily injury is connected with loss of livelihood protection and the need to seek food or assistance",citation_only,provisional,"Verify exact injury work and begging sequence"
EV-0183,TEXT,Past harm informs present caution,Manimekalai,Flower garden and pursuit sequence,"Sudhamathi's earlier experience shapes how she reads danger around Manimekalai",citation_only,provisional,"Do not treat every warning as automatically correct"
EV-0184,TEXT,Sudhamathi responds practically to Udayakumaran's pursuit,Manimekalai,Puhar pursuit sequence,"She warns plans moves or seeks concealment rather than serving only as an observer",citation_only,provisional,"Map exact sequence and actions"
EV-0185,TEXT,Sudhamathi witnesses unexplained separation,Manimekalai,Divine transport transition,"Manimekalai's removal from ordinary space leaves Sudhamathi with absence uncertainty and a need to account for what occurred",citation_only,provisional,"Verify what she directly sees and hears"
EV-0186,TEXT,Sudhamathi carries testimony to the household,Manimekalai,After disappearance,"She communicates information concerning Manimekalai to relevant women or household authorities",citation_only,provisional,"Verify recipient sequence and wording"
EV-0187,CAUTION,Exact numerical age is unresolved,Project methodology,Character bible,"Current research does not establish one verified numerical age for Sudhamathi",original,approved,"Binding casting and publicity safeguard"
EV-0188,CAUTION,Exact social status is unresolved,Project methodology,Character bible,"Friend companion attendant dependent and other modern terms are not yet approved as exact equivalents for Sudhamathi's position",original,approved,"Binding dialogue costume and publicity rule"
EV-0189,CAUTION,Trauma is not a permanent personality,Project methodology,Character bible,"Past violence abandonment or poverty must not make Sudhamathi fearful fragile or joyless in every scene",original,approved,"Binding performance and editing rule"
EV-0190,INTERPRETATION,Vigilance is skilled social perception,Project adaptation,Character bible,"Sudhamathi reads routes status witnesses attention and changes in behaviour as practical survival knowledge",original,provisional,"Requires trauma-informed and screenplay review"
EV-0191,INTERPRETATION,Friendship includes disagreement and mutual protection,Project adaptation,Character bible,"Sudhamathi and Manimekalai can warn challenge comfort and allow each other to choose",original,provisional,"Prevents servant or devotional-sidekick framing"
EV-0192,CAUTION,Violence cannot be eroticised,Project methodology,Character bible,"Any depiction of Sudhamathi's earlier danger must prioritise consequence disorientation survival and aftermath rather than aggressor excitement",original,approved,"Binding intimacy camera and edit rule"
EV-0193,INTERPRETATION,Unexplained disappearance can reactivate helplessness,Project adaptation,Character bible,"Manimekalai's divine removal may affect Sudhamathi as another sudden separation even when the sacred action is protective",original,provisional,"Do not frame questioning sacred intervention as moral failure"
EV-0194,CAUTION,Later Sudhamathi appearances require adaptation logging,Project methodology,Character bible,"Any screenplay expansion beyond the character's verified textual episodes must be labelled and justified",original,approved,"Binding screenplay continuity and publicity rule"}
