risk_id,category,risk,likelihood,impact,mitigation,owner,trigger,status,linked_repo_risk
GRT-01,production,Scope explosion — the full 8-12h ten-chapter game is attempted as the first milestone,High,Critical,Lock first milestone to the SEQ-04 vertical slice only (07); gate G7 before any full-game commit (15); uneven chapter scoping (06),Owner/Producer,Any task touching a non-SEQ-04 sequence before G6 passes,Open,RISK-015
GRT-02,creative,Screenplay-with-buttons — scenes become cutscenes with dialogue choices; no real gameplay,High,Critical,Pillar 1 acceptance test (>=60% world-action inputs); 09 forces per-unit interactivity classification; core segments must justify why they need play (07),Design lead,Playtest where players describe it as 'a story I clicked through',Open,RISK-001
GRT-03,creative,Excessive cut-scenes crowd out interactivity,Medium,Major,09 caps cinematic units; ENTRY/DECISION/CONSEQUENCE used as scene staging not cutscene (11); timing budget in 07,Design lead,Cinematic minutes exceed ~25% of a chapter,Open,RISK-001
GRT-04,creative,Weak gameplay — mechanics are shallow or unsatisfying beneath the themes,Medium,Major,Prototype mechanics before art (15 G2/G3); playtest fun explicitly (G6); low-cardinality high-meaning design (04),Design lead,G6 testers rate systems as tedious/pointless,Open,RISK-001
GRT-05,creative,Repetitive feeding missions / spreadsheet management,High,Major,Diegetic spatial arrange verb not menus (04); constraints change per place; one-shot state changes no upkeep; difficulty slider (12),Design lead,Feeding scenes feel same/grindy in playtest,Open,RISK-011
GRT-06,cultural,Trivialising hunger — bowl solves hunger; poverty becomes cosmetic,Medium,Critical,AD-0139; serve-only always fails (Pillar 3 test); anti-trivialisation checklist (04); aftermath shows unmet need,Cultural reviewer,Any build where 'Distribute food' clears a scene,Open,RISK-011
GRT-07,cultural,Gamifying trauma — coercion/starvation/death staged as mechanics or spectacle,Medium,Critical,Sensitive units kept partially-playable/cinematic (09); no violence verb (Pillar 5); trauma safeguards; specialist review before building Seq 05/06,Cultural/psych reviewer,Storyboarding SEQ-05/06 beats as playable set-pieces,Open,RISK-006;RISK-010
GRT-08,creative,Romanticising coercion — Udayakumaran/Kanchanan/queen framed sympathetically enough to excuse harm,Medium,Critical,05 prohibited branches (no romance; no erasing consequences); RISK-007/008 controls preserved; memory is not permission modelled in GM-04,Narrative lead,Any dialogue/choice that rewards excusing coercion,Open,RISK-007;RISK-008;RISK-009
GRT-09,historical,False historical certainty in art/geography/costume/maritime,High,Major,Evidence labels on every asset (11/13); no fantasy stone megacity or fixed harbour (AD-0003/0005); [INTERPRETATION] never shown as [HISTORY],Art director,An environment brief asserts a form the archive marks uncertain,Open,RISK-002;RISK-003;RISK-004;RISK-005
GRT-10,creative,Flattening philosophical positions into a winning-religion quiz,Medium,Major,Pillar 6 acceptance test (no scored correct doctrine); steelman reconstruction (FU-054); no win-VFX (11),Narrative/philosophy reviewer,Any encounter with a scored 'correct' school,Open,RISK-014
GRT-11,language,Inaccurate or invented Tamil; wrong terminology/orthography,High,Major,Follow 10G terminology + cue policy; validator-enforced forms; named Tamil review before any lock; DOM Tamil rendering tested (10/12),Tamil language reviewer,Any new term not in the repo register; glyph rendering defects,Open,RISK-019
GRT-12,technical,"Inaccessible UI — Tamil unreadable, no scaling, colour-only info, no screen-reader path",Medium,Major,Tamil-first typography (11); 12 acceptance checks; DOM/HTML stack for a11y; colour-independent cues,Accessibility lead,Failing any 12 acceptance check in a build,Open,RISK-019
GRT-13,legal,Third-party rights — translation/Venpa/font/music/photo used without clearance,Medium,Critical,13 rights map; status_unknown never ships; SR-013 review before public release; prefer original adaptation dialogue,Owner + legal,Preparing any public/commercial build,Open,RISK-020;RISK-023
GRT-14,legal,AI-asset provenance unclear; training-data/ownership uncertainty,Medium,Major,AI assets prototype-only under Option B; provenance notes required; clearance before release (13),Owner + legal,Shipping any AI-generated art/audio,Open,RISK-024
GRT-15,production,Insufficient playtesting — design assumptions never validated with real players,Medium,Major,Dedicated G6 player-testing gate (15); iterate G1-G4 with paper/greybox tests; bilingual testers incl. Tamil-first,Producer,Reaching art-production before a G6 pass,Open,RISK-001
GRT-16,production,Unsustainable full voice acting locks cost and pre-empts open dialogue lock,Medium,Major,Slice is text-only (11); only partial/keystone VO later after Tamil review + table-reads; full VO not planned,Producer,Commissioning full VO before dialogue lock,Open,RISK-017
GRT-17,governance,Game work silently alters or contradicts approved screenplay/adaptation decisions,Medium,Critical,README guardrails (no edits to docs 01-11); GD-* may not contradict 10A non-negotiables; proposed(not approved) Venpa uses treated as unavailable,Governance,Any diff to screenplay/TRACE/AD from game work,Controlled,RISK-021
GRT-18,creative,Bounded agency feels fake — players resent fixed tragedies as unfair failures,Medium,Major,05 fixed/variable communicated diegetically; fail-forward not game-over (03); tragedies marked as authored not skill-failure,Narrative lead,Playtesters report 'I was punished for something I could not change',Open,
GRT-19,cultural,Marketing/framing drifts toward mythological power fantasy or religious propaganda,Medium,Major,01 non-goals binding on marketing; no faith wins (Pillar 6); cultural review of public copy,Owner,Any promo implying combat/power/one-true-faith,Open,RISK-001
GRT-20,production,"Solo/small-team burnout given the review-gated, multi-discipline scope",Medium,Major,Slice-first; text-only VO; stylised low animation scope (11); reuse screenplay/storyboard assets; phased roadmap with stop/go,Owner,Slipping G-gates repeatedly; scope creep signals,Open,
