decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0133,Name age caste vocabulary and rebirth casting remain unresolved,binding,"The poem provides Aputhiran's origin education exclusion service and rebirth but modern equivalents remain uncertain","The adaptation could invent a fixed caste biography exact age or permanent-soul visual identity","Keep terms provisional cast life stages safely and decide same-actor rebirth only after Tamil Buddhist and performance review","Protects textual honesty and present-life distinction","EV-0261;EV-0267","Classical Tamil; caste history; Buddhist studies; casting; publicity"
AD-0134,Compassion begins before the miraculous vessel,binding,"Aputhiran begs distributes ordinary food feeds vulnerable people eats leftovers and sleeps beside his pot before receiving Amudhasurabhi","The miracle could erase labour and turn ethics into divine selection","Give substantial screen time to collection serving cleanup and recipient relationships before the vessel appears","Establishes that the object amplifies an existing practice rather than creating virtue","EV-0269;EV-0270","Screenplay; food systems; disability access; performance; editor"
AD-0135,Sali's sexual history cannot determine Aputhiran's moral worth,binding,"Sali's history and abandonment are used publicly to disqualify her son","The film could repeat misogynistic shame or make her a corrupt origin for a pure hero","Show danger travel limited options and weaponised ancestry while keeping her actions open to accountability and compassion","Prevents maternal sexual stigma from becoming narrative truth","EV-0262;EV-0267;EV-0268","Classical Tamil; gender history; trauma review; screenplay"
AD-0136,Aputhiran is learned and critiques exclusion from within knowledge,binding,"His adoptive household educates him and he answers hostile claims with learned examples","He could be simplified into an innocent anti-intellectual outsider speaking modern slogans","Preserve memory argument humour and knowledge while distinguishing literary critique from modern ideology","Makes his dissent specific to character and text","EV-0264;EV-0266;EV-0267","Classical Tamil; history of religions; dialogue; actor preparation"
AD-0137,The sacrificial-cow sequence protects animals without flattening all ritual traditions,binding_provisional,"The poem presents a frightened decorated cow Aputhiran's intervention and a hostile dispute","The scene could use real distress graphic violence or claim documentary truth about all Vedic ritual","Use strict animal-welfare methods preserve the poem's polemic and label exact ritual reconstruction as unresolved","Protects animals historical complexity and religious dignity","EV-0263;EV-0265;EV-0266","Animal welfare; Vedic ritual history; classical Tamil; stunt; legal"
AD-0138,Recipients remain agents rather than devotional evidence,binding,"Aputhiran calls socially vulnerable people to eat and later feeds people animals and birds","Crowds could exist only to praise the saint or display suffering","Create recurring recipients with preferences correction humour access needs and reciprocal concern without inventing them as textual persons","Preserves dignity and makes feeding dramatically relational","EV-0269;EV-0270","Disability consultants; poverty ethics; screenplay; casting; extras coordination"
AD-0139,The Amudhasurabhi does not erase distribution labour and infrastructure,binding,"The vessel produces abundant food but feeding still occurs in a material social space","A glowing prop could imply that water serving order sanitation transport and labour solve themselves","Show logistics access cleaning vessels shelter and bodily work in every large feeding sequence","Connects miracle to the project's hunger and infrastructure system","EV-0270;EV-0269","Food safety; production design; accessibility; continuity; VFX"
AD-0140,Prosperity is good even when it destabilises Aputhiran's identity,binding,"Indra's rain removes famine and leaves Aputhiran without recipients","The film could imply hunger should continue so compassionate people retain purpose or portray former recipients as ungrateful","Celebrate improved food security while showing Aputhiran's personal disorientation as a separate problem","Protects the anti-hunger ethic and reveals his service dependency","EV-0272;EV-0273","Screenplay; ethics; psychology consultant; editor; music"
AD-0141,Self-starvation remains ethically tragic as well as sacred within the poem,binding,"Aputhiran relinquishes the vessel and then fasts to death on Manipallavam within a karmic narrative","The death could become beautiful instruction moral reward or proof that self-erasure is compassion","Preserve sacred context and agency while showing alternatives physical cost isolation and unresolved tragedy without procedural detail","Honours the text without romanticising self-harm","EV-0275;EV-0276;EV-0277;EV-0278","Buddhist studies; safeguarding; mental-health consultant; direction; edit; publicity"
AD-0142,Punniyarajan is karmic continuity not an identical present self,binding_provisional,"The poem connects Aputhiran's death cow-affection and merit with rebirth as Punniyarajan","Same-face or direct-memory shorthand could erase the king's distinct present life or imply an unchanged permanent soul","Treat bodily echoes casting and memory as production choices and preserve different upbringing knowledge and obligations","Supports Buddhist causation while protecting character individuality","EV-0261;EV-0277","Buddhist studies; classical Tamil; casting; VFX; Punniyarajan dossier"
