decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0153,Punniyarajan is not merely Aputhiran returned,binding,"The poem connects the king to Aputhiran through rebirth while also giving him present parents kingdom relationships and duties","Same-person shorthand could erase present identity and imply an unchanged permanent soul","Portray causal continuity and ethical inheritance without treating the king as Aputhiran occupying another body","Protects Buddhist causation and the reality of the present life","EV-0295;EV-0296;EV-0297;EV-0305","Classical Tamil; Buddhist studies; performance; casting"
AD-0154,Rebirth recognition is ethical revelation not personality replacement,binding,"Reported information precedes the Peedihai's disclosure and remembered feeding experience","A flashback device could instantly replace present personality with complete prior-life memory","Stage recognition in layers and preserve the king's current knowledge habits and relationships after disclosure","Makes revelation transformative without flattening character","EV-0298;EV-0302;EV-0303;EV-0305","Buddhist studies; classical Tamil; screenplay; VFX; performance"
AD-0155,Present kingship remains a moral responsibility equal to personal liberation,binding,"Janamithran warns that subjects and creatures may suffer if the king leaves for tapas or moksha","Renunciation could be presented as automatically superior to governance","Keep living subjects inside the king's moral frame and make return to rule necessary to the arc","Preserves role-specific duty and prevents spiritualised abandonment","EV-0299;EV-0300;EV-0306","Kingship history; Buddhist ethics; screenplay; politics"
AD-0156,Prosperity after his birth is symbolic evidence not proof of holiness,binding,"The minister links rainfall abundance and absence of hunger with Punniyarajan's birth","The film could present magical weather causation or imply prosperity requires a sacred ruler rather than material systems","Preserve the poem's royal symbolism while showing cultivation storage labour and administration as separate causal layers","Maintains textual meaning without false historical or institutional certainty","EV-0299;EV-0306","Classical Tamil; environmental history; political history; production design"
AD-0157,Janamithran receives serious ethical authority,binding,"The minister names mothers children creatures and the king's duty to protect life","He could become comic bureaucracy obstructing a spiritually enlightened ruler","Give him courage intellectual coherence and continuing standing to ask what the revelation means for government","Strengthens the kingship conflict and represents subjects absent from the palace","EV-0300;EV-0301","Classical Tamil; performance; screenplay; political history"
AD-0158,Manipallavam journey is a time-limited pilgrimage not unexamined abandonment,binding,"The king says he will return in one month and delegates protection before commissioning a boat","The screenplay could turn the journey into permanent abdication or consequence-free spiritual tourism","Track the one-month limit delegation travel time and risks during absence and require return","Preserves the textual compromise between inquiry and duty","EV-0300;EV-0301;EV-0306","Classical Tamil; maritime history; kingship; continuity"
AD-0159,Memory of Amudhasurabhi concerns service not ownership,binding,"The king remembers receiving the vessel and feeding hungry people while the vessel is now in Manimekalai's hands","Previous possession could be treated as a present claim to the sacred object or its moral prestige","Let the memory restore obligation while Manimekalai retains custody and independent vocation","Protects both characters and the vessel's service logic","EV-0295;EV-0303;EV-0304;EV-0305","Buddhist studies; screenplay; props continuity; performance"
AD-0160,Nine merchants complicate Aputhiran's self-relinquishment,binding_provisional,"Deepathilahai shows that merchants returned found Aputhiran dead and also died on Manipallavam","Their deaths could be beautified as loyal sacrifice or omitted to preserve a flawless saint narrative","Use the revelation to expose unintended consequence without horror spectacle or assigning simple legal guilt","Prevents self-destruction from becoming a pure moral victory","EV-0302;EV-0304;EV-0306","Classical Tamil; Buddhist ethics; safeguarding; direction; editor"
AD-0161,Return to rule completes the present arc,binding_provisional,"Later narrative states that Punniyarajan returns to his country and continues ruling","Return could feel like retreat from enlightenment unless governance becomes the site of ethical change","End the branch with renewed public responsibility and develop any reforms as separately logged interpretations","Joins previous-life compassion to present institutional duty","EV-0300;EV-0301;EV-0305;EV-0306","Classical Tamil; kingship history; screenplay architecture; policy-history review"
AD-0162,Same actor as Aputhiran remains unresolved,open,"Visual continuity could clarify rebirth but can also imply an unchanged soul or erase distinct upbringing","Casting choice may predetermine the film's philosophy before the screenplay earns it","Test same-actor related-actor and distinct-actor approaches before locking casting or VFX","Preserves doctrinal ambiguity and present-life individuality","EV-0295;EV-0296;EV-0302;EV-0305","Buddhist studies; casting; VFX; audience testing"
