decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0081,Madhavi is an artist and household authority not a repentant stereotype,binding,"Madhavi enters the story with extensive artistic history public recognition motherhood and grief","The film could reduce her to a seductive past followed by moral purification","Present artistic intelligence household authority grief and religious conviction together and reject the fallen-woman redemption template","Preserves the character's knowledge dignity and contradiction","EV-0163;EV-0164;EV-0172","Classical Tamil; performance history; gender studies; actor preparation"
AD-0082,Renunciation reorganises life rather than purifying an impure woman,binding,"Madhavi withdraws from public performance after catastrophe but her body knowledge household and obligations remain","A jewellery-removal montage could imply that art sexuality or womanhood caused moral pollution","Show changes to time work patronage dress resources and relationships while retaining artistic history and embodied dignity","Makes renunciation a demanding social vocation instead of misogynistic shorthand","EV-0164;EV-0170;EV-0172;EV-0176","Buddhist studies; classical Tamil; gender history; costume; production design"
AD-0083,Maternal protection does not grant ownership of Manimekalai's vocation,binding,"Madhavi seeks to protect her daughter from an inherited public and erotic future","The mother's fear could be treated as sufficient authority to assign renunciation to the daughter","Let Madhavi advise protect and set boundaries while requiring her to recognise Manimekalai as an independent moral agent","Preserves maternal love without reproducing coercion","EV-0165;EV-0171;EV-0179","Screenplay; gender studies; family-dynamics consultant; actor preparation"
AD-0084,Madhavi's trained body remains visible after performance ends,binding_provisional,"Madhavi's artistic formation precedes renunciation and cannot be physically forgotten","Renunciation could be acted through weakness bodily collapse or complete loss of rhythm","Retain breath balance timing gaze and spatial intelligence without importing modern Bharatanatyam choreography","Makes biography visible while respecting period uncertainty","EV-0163;EV-0174","Performance history; movement coach; classical Tamil; choreography"
AD-0085,Kannagi and Madhavi are not arranged as pure wife versus fallen performer,binding,"Both women are connected to Kovalan and to the Madurai catastrophe through different histories","Cross-epic compression could create a moral contest based on marital or sexual status","Represent distinct suffering choices and responsibilities without using one woman to condemn the other","Prevents a reductive patriarchal hierarchy from replacing the epics' complexity","EV-0167;EV-0168;EV-0177","Silappathikaram specialist; gender studies; screenplay; publicity"
AD-0086,Grief changes routines decisions and authority,binding_provisional,"Madhavi's withdrawal follows catastrophic loss and affects her public and household life","Grief could appear only as repeated crying or decorative silence","Track grief through room use schedules access speech work and maternal control as well as moments of open sorrow","Gives the actor playable continuity and connects emotion to material consequences","EV-0168;EV-0170","Trauma-informed consultant; actor preparation; production design; continuity"
AD-0087,The performance household's workers and dependants remain visible,binding,"Public art depends on teachers musicians flower workers costume labour servants and household resources","Renunciation could be framed as an individual spiritual choice with no effect on others","Show who loses work changes roles preserves knowledge or remains dependent when performance stops","Connects spiritual choice with labour and household responsibility","EV-0104;EV-0176","Labour history; performance history; production design; screenplay"
AD-0088,Madhavi and Chitrapathi receive competing intelligent survival logics,binding,"Madhavi seeks withdrawal while Chitrapathi seeks continuity of lineage income and public standing","The older woman could become a greedy comic villain and Madhavi an unquestioned moral authority","Give both women specific material reasoning shared professional language and accountability for coercive choices","Creates credible intergenerational conflict rather than moral caricature","EV-0169;EV-0171;EV-0176","Classical Tamil; performance history; gender studies; actor preparation"
AD-0089,Artistic objects are not destroyed as renunciation shorthand,binding,"The evidence does not establish a dramatic destruction of instruments costumes or jewellery","A familiar renunciation montage could manufacture a symbolic act and imply hatred of art","Use storage redistribution gifting altered use or documented disuse only where supported and keep uncertainty visible","Protects textual integrity and avoids equating spirituality with cultural destruction","EV-0178","Classical Tamil; props; costume; production design; screenplay"
AD-0090,Madhavi's mature arc ends in release without maternal disappearance,binding_provisional,"Manimekalai develops an independent vocation while Madhavi remains her mother and part of the household world","The film could either retain controlling motherhood or erase Madhavi once the heroine becomes autonomous","Give Madhavi a final act of listening acknowledgement or household reorganisation that releases control without abandoning relationship","Completes her internal arc while avoiding unsupported dominance over the ending","EV-0171;EV-0179","Original-text review; screenplay; director; actor preparation"
