review_id,assignment_status,reviewer_public_name,reviewer_role_or_affiliation,conflict_declaration_received,scope_accepted,assignment_date,target_date,response_record,result,repository_disposition,notes
SR-001,UNASSIGNED,,,,,,,,,,"Requires Tamil dialogue editor and actor-facing review"
SR-002,UNASSIGNED,,,,,,,,,,"Requires Bharathidasan textual specialist with lawful edition access"
SR-003,UNASSIGNED,,,,,,,,,,"Requires Manimekalai scholar or classical Tamil editor"
SR-004,UNASSIGNED,,,,,,,,,,"Requires Buddhist-studies reviewer"
SR-005,UNASSIGNED,,,,,,,,,,"Requires Indian philosophy and logic reviewer"
SR-006,UNASSIGNED,,,,,,,,,,"Requires early South Indian historian"
SR-007,UNASSIGNED,,,,,,,,,,"Requires Tamil food-history reviewer"
SR-008,UNASSIGNED,,,,,,,,,,"Requires consent-sensitive dramaturgy reviewer"
SR-009,UNASSIGNED,,,,,,,,,,"Requires trauma-informed performer or dramaturg"
SR-010,UNASSIGNED,,,,,,,,,,"Requires maritime archaeology or history reviewer"
SR-011,UNASSIGNED,,,,,,,,,,"Requires textile and costume-history reviewer"
SR-012,UNASSIGNED,,,,,,,,,,"Requires animal-welfare and ritual-history review"
SR-013,UNASSIGNED,,,,,,,,,,"Requires copyright and open-licensing adviser plus owner decision"
