evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0163,CROSS,Madhavi is a trained and publicly recognised artist,Silappathikaram,Madhavi narrative,"Madhavi is presented as an accomplished performer whose authority rests on extensive artistic training and public recognition",citation_only,provisional,"Create original-text performance concordance"
EV-0164,TEXT,Madhavi turns toward renunciation after Kovalan's death,Manimekalai,Opening chapters,"Madhavi reorganises her life after Kovalan's death and withdraws from the expected public performance role",citation_only,provisional,"Verify exact acts terminology and chronology"
EV-0165,TEXT,Madhavi seeks a different future for Manimekalai,Manimekalai,Opening chapters,"Madhavi directs her daughter away from the inherited performance and patronage future",citation_only,provisional,"Distinguish direct command from inferred intention"
EV-0166,TEXT,Madhavi's withdrawal becomes public knowledge,Manimekalai,Festival and city-gossip opening,"The absence of Madhavi and Manimekalai from expected public participation generates discussion and pressure",citation_only,provisional,"Map speakers and exact claims"
EV-0167,CROSS,Madhavi's history is inseparable from Kovalan and Manimekalai,Manimekalai and Silappathikaram,Lineage context,"Madhavi's relationship with Kovalan and motherhood of Manimekalai shape her public memory and present decisions",citation_only,provisional,"Cross-epic chronology required"
EV-0168,CROSS,Madurai's failed justice restructures Madhavi's life,Silappathikaram and Manimekalai,Madurai aftermath,"Kovalan's execution and the catastrophe surrounding Madurai form the historical and emotional rupture preceding Madhavi's renunciation",citation_only,provisional,"Do not convert cross-epic causation into modern clinical diagnosis"
EV-0169,TEXT,Chitrapathi contests the household's withdrawal,Manimekalai,Puhar pursuit narrative,"Chitrapathi acts to preserve the performance household and restore Manimekalai to elite public visibility",citation_only,provisional,"Verify kinship title motives and actions"
EV-0170,INTERPRETATION,Grief reorganises household routine,Project adaptation,Madhavi character bible,"Madhavi's grief is performed through changed rooms schedules work patron access dress and speech rather than continuous lament",original,provisional,"Actor continuity and production-design framework"
EV-0171,INTERPRETATION,Maternal protection can reproduce control,Project adaptation,Madhavi character bible,"Madhavi's effort to protect Manimekalai may become another imposed future when she treats her own solution as the daughter's obligation",original,provisional,"Core mother-daughter dramatic conflict"
EV-0172,CAUTION,Renunciation is not repentance for female impurity,Project methodology,Madhavi character bible,"Madhavi's renunciation must not imply that performance sexuality motherhood or her body made her morally impure",original,approved,"Binding religious gender and publicity rule"
EV-0173,CAUTION,Madhavi's occupational category has no approved modern equivalent,Project methodology,Madhavi character bible,"Terms translated as courtesan cannot be equated automatically with devadasi prostitution concubinage slavery or celebrity",original,approved,"Binding terminology casting and production rule"
EV-0174,INTERPRETATION,Madhavi's body retains artistic training,Project adaptation,Madhavi character bible,"Balance rhythm breath spatial control and gaze plausibly remain after public performance ends",original,provisional,"Do not claim unsupported modern dance vocabulary"
EV-0175,INTERPRETATION,Madhavi's voice carries former public projection,Project adaptation,Madhavi character bible,"Her quieter renunciant speech still carries breath control timing and authority developed through performance",original,provisional,"Actor and dialogue framework"
EV-0176,INTERPRETATION,Renunciation affects household workers and dependants,Project adaptation,Madhavi character bible,"Ending public performance changes income patron relationships work routines and obligations beyond Madhavi alone",original,provisional,"Requires labour and household-history review"
EV-0177,CAUTION,Kannagi and Madhavi are not moral opposites,Project methodology,Madhavi character bible,"The adaptation must not construct a pure wife versus fallen performer hierarchy between Kannagi and Madhavi",original,approved,"Binding cross-epic gender rule"
EV-0178,CAUTION,No destruction of artistic objects without textual support,Project methodology,Madhavi character bible,"Instruments costumes jewellery and teaching objects must not be theatrically destroyed as shorthand for renunciation unless the text supports it",original,approved,"Binding props costume and screenplay rule"
EV-0179,INTERPRETATION,Madhavi's mature arc releases control without disappearing,Project adaptation,Madhavi character bible,"Her development culminates in remaining available as mother and witness while allowing Manimekalai's vocation to be self-chosen",original,provisional,"Final-act structure requires original-text review"
