evidence_id,source_ids,crosswalk_status,source_work,notes
EV-0001,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0002,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0003,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0004,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0005,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0006,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0007,SRC-0005,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0008,SRC-0005,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0009,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0010,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0011,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0012,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0013,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0014,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0015,SRC-0005,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0016,SRC-0006,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0017,SRC-0007,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0018,SRC-0009,REGISTERED_SOURCE,Staples and Blue,Line/page verification remains governed by the source register and evidence record.
EV-0019,SRC-0006,RECORD_LEVEL_CROSSWALK,Project methodology based on archaeological reports,Line/page verification remains governed by the source register and evidence record.
EV-0020,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0021,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0022,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0023,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0024,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0025,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0026,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0027,SRC-0011,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0028,SRC-0011,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0029,SRC-0012,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0030,SRC-0013,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0031,SRC-0014,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0032,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0033,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0034,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0035,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
