review_id,discipline,minimum_qualification,evidence_access_required,conflict_or_disqualifier,preferred_review_mode,packet,acceptance_evidence
SR-001,Tamil language,"Published Tamil writer, dialogue editor or equivalent demonstrated screen/performance-language practice","Tamil screenplay and terminology register","Authorship or production interest that cannot be declared and managed","Line-by-line review plus actor-facing table read",specialist-review-packets/tamil-textual-and-performance-review.md,"Accepted scope; Tamil competence; dated response; scene-level findings"
SR-002,Bharathidasan studies,"Demonstrated scholarship or textual editing concerning Bharathidasan or modern Tamil literary adaptation","Lawfully held printed edition or reliable page images of Manimekalai Venpa","Reliance on OCR alone for exact wording","Edition and page-level textual review",specialist-review-packets/tamil-textual-and-performance-review.md,"Edition identified; page locators; direct versus interpretive findings"
SR-003,Manimekalai textual studies,"Classical Tamil scholar or editor with direct Manimekalai expertise","Primary Tamil edition and identified translation used by the project","Treating a later retelling as the primary epic","Chapter and line compatibility review",specialist-review-packets/tamil-textual-and-performance-review.md,"Edition identified; source classifications; affected IDs"
SR-004,Buddhist studies,"Scholar of Buddhist doctrine with capacity to review the Tamil or South Asian context","Philosophy bible and source-linked screenplay material","Generic spirituality review without doctrinal competence","Doctrine and dramatic-intelligibility review",specialist-review-packets/religion-and-philosophy-review.md,"Causation, rebirth, renunciation and liberation findings"
SR-005,Indian philosophy,"Scholar of Indian philosophy, epistemology or logic familiar with represented schools","Philosophy bible and Sequences 09-10","Sectarian advocacy that will not review rival schools in strongest form","Comparative argument and terminology review",specialist-review-packets/religion-and-philosophy-review.md,"School-by-school findings; inference terminology; confidence"
SR-006,Early Tamil history,"Historian or archaeologist of early South India","Historical-world dossiers and institutional scenes","Projecting later imperial or modern institutions without evidence","Claim-by-claim historical plausibility review",specialist-review-packets/history-and-material-culture-review.md,"Supported, plausible and prohibited-claim distinctions"
SR-007,Food history,"Researcher of Tamil or South Indian food history and material practice","Aadhirai source passages, food dossier and Scenes 31-34","Modern recipe reconstruction presented as exact ancient fact","Terminology, vessel and serving-practice review",specialist-review-packets/tamil-textual-and-performance-review.md,"Food-term ranges; visual cautions; serving-action findings"
SR-008,Gender and consent,"Dramaturg, historian or scholar with demonstrated consent-sensitive narrative practice","Character bibles and pursuit, grief and custody scenes","Romanticising persistence or assigning women responsibility for male violence","Agency and causality review",specialist-review-packets/tamil-textual-and-performance-review.md,"Scene-level consent, agency and accountability findings"
SR-009,Trauma-informed performance,"Trauma-informed dramaturg, performer or clinical adviser working within narrative ethics","Sudhamathi, Madhavi, Manimekalai and confinement scenes","Demanding disclosure or spectacle as proof of trauma","Performance and staging review",specialist-review-packets/tamil-textual-and-performance-review.md,"Trigger and staging cautions; actor-facing notes; exclusions"
SR-010,Maritime archaeology,"Maritime archaeologist or Indian Ocean historian","Puhar, voyage and Manipallavam dossiers plus visual assets","Treating comparative vessels or one modern location as proven identification","Visual and route uncertainty review",specialist-review-packets/history-and-material-culture-review.md,"Supported forms; comparative limits; prohibited claims"
SR-011,Costume and textile history,"Textile historian or costume researcher with early South Indian competence","Costume dossier, character arcs and storyboard assets","Using Bharatanatyam or imperial-Chola convention as default evidence","Material, movement and chronology review",specialist-review-packets/history-and-material-culture-review.md,"Garment ranges; uncertainty; corrections by scene and asset"
SR-012,Animal ethics and ritual history,"Animal-welfare specialist plus ritual historian, jointly if necessary","Aputhiran cow sequence and associated evidence","Normalising real animal distress or caricaturing a community","Welfare plan and ritual-context review",specialist-review-packets/history-and-material-culture-review.md,"No-harm requirements; contextual findings; production controls"
SR-013,Rights and licensing,"Copyright or open-licensing adviser qualified for the relevant jurisdiction","Option B notices, contribution terms, source register and asset register","Assuming repository visibility grants reuse rights","Written review of interim state and future options",specialist-review-packets/rights-and-licensing-review.md,"Owned/excluded layers; required corrections; jurisdiction and limitations"
