decision_id,title,status,source_observation,risk,decision,rationale,evidence_ids,required_review
AD-0031,Three-layer geography atlas,binding,"Literary historical and production geography carry different levels of certainty","One clean map could silently convert narrative relationships into archaeological fact","Maintain separate textual historical and production maps with confidence levels and visible uncertainty","Protects scholarly traceability while supporting production planning","EV-0084","Cartography; classical Tamil; archaeology; production design"
AD-0032,No proven Manipallavam identification,binding,"Manipallavam has been associated with northern Sri Lanka and often with Nainativu but direct identification remains unresolved","Publicity and concept art could describe a hypothesis as discovery","Do not label Nainativu or any modern island as the proven Manipallavam","Preserves the difference between contextual plausibility and site identification","EV-0069;EV-0070;EV-0081;EV-0083","Classical Tamil; Sri Lankan archaeology; historical geography; publicity review"
AD-0033,Northern Sri Lankan island-zone hypothesis,binding_provisional,"Northern Sri Lanka contains island maritime Buddhist urban and trade contexts relevant to the epic","A wholly invented fantasy island would discard regional evidence while copying one modern island would overclaim certainty","Design Manipallavam from a northern Sri Lankan low-island environmental zone without duplicating one modern settlement or shrine","Creates material credibility while retaining sacred and geographical uncertainty","EV-0073;EV-0074;EV-0075;EV-0088","Island geology; ecology; Sri Lankan archaeology; community consultation; production design"
AD-0034,No modern ethnic mapping of Naga,binding,"The epic uses Naga in dynastic territorial sacred and maritime narratives","Casting or design could racialize the term or merge it with unrelated modern peoples","Represent Naga identity through relationships institutions maritime knowledge and source-supported symbolism rather than race makeup or modern ethnic equivalence","Avoids anachronism and politically harmful simplification","EV-0071;EV-0082;EV-0089","Classical Tamil; Sri Lankan history; anthropology; casting; sensitivity review"
AD-0035,Karur Amaravati as provisional Vanji anchor,binding_provisional,"Karur has Chera Vanchi inscriptional trade and archaeological associations","Treating Karur as unquestionable could erase competing literary and historical interpretations","Use Karur Amaravati as the principal production anchor while logging alternative Vanchi hypotheses and avoiding exclusivist claims","Provides a defensible inland Chera environment without overstating certainty","EV-0078;EV-0079;EV-0080;EV-0087","Chera history; archaeology; classical Tamil; production design"
AD-0036,Distinct travel grammars,binding,"The epic includes walking overland journeys merchant ships divine transport and previous-birth memory","One montage language would erase physical stakes and make sacred travel resemble superhero movement","Give each travel mode a distinct relationship to time sound fatigue navigation costume wear and bodily control","Clarifies geography and protects character continuity","EV-0068;EV-0070;EV-0085","Screenplay; editing; sound; costume continuity; VFX"
AD-0037,No exact ancient distance claims,binding,"Translations and commentaries may preserve numerical distances in variable ancient units","A fixed kilometre conversion could manufacture a false coordinate and voyage time","Approve no exact distance or duration until original Tamil editions unit variability and nautical plausibility are reviewed","Maintains metrological and textual honesty","EV-0086","Philology; historical metrology; nautical history; publicity review"
AD-0038,Seasonal and transshipment sea logic,binding_provisional,"Northern Sri Lankan waters include shallow channels while merchant movement depended on wind route knowledge and vessel draft","Straight-line routes and direct beach landings by all vessel types would make the maritime world implausible","Use seasonal waiting offshore anchorage transfer craft and pilot knowledge where supported while labelling the exact route as reconstruction","Connects the geography dossier to the vessel-class system","EV-0070;EV-0076;EV-0077;EV-0080","Marine archaeology; oceanography; naval architecture; stunt marine unit"
AD-0039,Public maps must display uncertainty,binding,"Several narrative places have supported regions but unresolved exact locations","Marketing maps may remove caveats for visual simplicity","Use solid anchors shaded regions alternative outlines and palaeoshoreline warnings in every public-facing historical map","Makes uncertainty part of the project's trust standard","EV-0081;EV-0083;EV-0084;EV-0087","Cartography; historians; legal and publicity review"
AD-0040,No archaeological ownership claims,binding,"Northern Sri Lankan sites are embedded in contested modern Tamil Sinhala Buddhist and national narratives","The production could unintentionally use ancient evidence to validate exclusive modern territorial claims","Record contested interpretations consult multiple communities and refuse exclusive ownership conclusions not supported by evidence","Prevents the adaptation from weaponizing archaeology","EV-0089","Sri Lankan historians; archaeologists; Tamil and Sinhala community consultation; ethics review"
