evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0090,TEXT,Puhar contains multiple civic functions,Manimekalai,Across Puhar chapters,"The city includes festival streets, gardens, halls, royal spaces, confinement, feeding and religious institutions",citation_only,provisional,"Requires chapter and Tamil-term concordance"
EV-0091,TEXT,Prison becomes care institution,Manimekalai,Chapters 19 and 20,"The king transforms a prison into a charitable place with kitchens, lodging and feeding",citation_only,provisional,"Institutional terminology requires Tamil verification"
EV-0092,TEXT,Chakravala is a boundary landscape,Manimekalai,Chapters 5 and 6,"Chakravala or cremation-ground space is associated with walls, entrances, death, refuge and philosophical reflection",citation_only,provisional,"Do not convert into generic horror scenery"
EV-0093,HISTORY,Poompuhar wharf interpretation,Tamil Nadu Department of Archaeology,Poompuhar,"Brick walls, platforms and wooden posts at Kizharveli are interpreted as a wharf",citation_only,provisional,"Full excavation report required for dimensions and phasing"
EV-0094,HISTORY,Keeladi brick timber and roof system,Tamil Nadu Department of Archaeology,Keeladi,"Brick structures, post holes, iron nails and grooved roofing tiles support mixed brick timber and tiled construction",citation_only,provisional,"Comparative regional evidence not direct Puhar architecture"
EV-0095,HISTORY,Keeladi ring wells,Tamil Nadu Department of Archaeology,Keeladi ring-well report,"Terracotta ring wells were excavated with interlocking rings and decorated upper elements",citation_only,provisional,"Function and neighbourhood context require specialist review"
EV-0096,HISTORY,Kanchipuram early historic water and trade remains,Tamil Nadu Department of Archaeology,Irulanthoppu excavation record,"A deep terracotta ring well, roofing tiles, rouletted ware and Tamil-Brahmi sherds were reported in early historic layers",citation_only,provisional,"Official page combines excavation summaries; full site report required"
EV-0097,HISTORY,Vasavasamudram ring wells and tank,Tamil Nadu Department of Archaeology,Vasavasamudram,"Two ring wells near a brick-lined tank tentatively associated with washing or dyeing show linked water and production spaces",citation_only,provisional,"Comparative coastal evidence not direct Puhar plan"
EV-0098,CAUTION,Ring well function is contextual,Project methodology,Architecture dossier,"A ring well cannot automatically be labelled drinking well, soakage pit, drain or sewer without context",original,approved,"Binding architecture and publicity rule"
EV-0099,CAUTION,Poetic splendour is not a construction drawing,Project methodology,Architecture dossier,"Literary descriptions of gold, marble, height or abundance do not provide exact dimensions or materials",original,approved,"Binding screenplay and production-design rule"
EV-0100,CAUTION,Later monumental architecture exclusion,Project methodology,Architecture dossier,"Later Pallava and imperial Chola temples, gopurams and palaces are not automatic models for the epic's earlier city world",original,approved,"Binding period-control rule"
EV-0101,INTERPRETATION,Infrastructure reveals political purpose,Project adaptation,Architecture dossier,"Water, access, confinement, feeding, storage and public halls are designed as connected systems that reveal institutional choices",original,provisional,"Requires architecture, archaeology and public-health review"
