evidence_id,evidence_type,title,source_work,chapter_or_location,claim_or_observation,rights_status,verification_status,notes
EV-0243,CAUTION,Exact age office and authority are unresolved,Project methodology,Character bible,"Current research does not establish one verified numerical age dynastic office independent legal power or custody authority for Rajamadevi",original,approved,"Binding casting dialogue legal and publicity safeguard"
EV-0244,TEXT,Rajamadevi is mother of Udayakumaran,Manimekalai,Chapters 22 to 24,"The queen's grief and later actions are explicitly connected to the death of her son Udayakumaran",citation_only,provisional,"Verify exact kinship and title forms"
EV-0245,TEXT,Vasantavai refuses heroic consolation,Manimekalai,Chapter 23 lines around 010 to 020,"The elderly Vasantavai says the prince did not die protecting the country or in a praiseworthy royal death and does not offer the queen the consolation she seeks",citation_only,provisional,"Review martial ideology and exact tone"
EV-0246,TEXT,The queen conceals vengeance behind virtue,Manimekalai,Chapter 23 lines around 020 to 030,"Rajamadevi decides to hide hatred and appear good before approaching the king",citation_only,provisional,"Central public-private contradiction"
EV-0247,TEXT,The queen argues Manimekalai is innocent,Manimekalai,Chapter 23 lines around 020 to 040,"She tells the king the prince was unfit Manimekalai did no wrong and imprisonment is improper and asks that Manimekalai stay with her",citation_only,provisional,"Verify exact legal and religious vocabulary"
EV-0248,TEXT,The king releases Manimekalai into queenly custody,Manimekalai,Chapter 23 lines around 030 to 040,"The king releases Manimekalai and Rajamadevi takes her into the palace",citation_only,provisional,"Distinguish formal release residence and later confinement"
EV-0249,TEXT,Rajamadevi attempts drugging,Manimekalai,Chapter 23 lines around 040,"The queen gives Manimekalai a drink intended to produce dizziness or unconsciousness but it does not affect her",citation_only,provisional,"Verify preparation administrator witnesses and exact effect"
EV-0250,TEXT,Rajamadevi purchases a fabricated sexual accusation,Manimekalai,Chapter 23 lines around 040 to 050,"The queen gives gold to an uneducated man and directs him to spread a false claim concerning sexual contact and bodily marks",citation_only,provisional,"Verify whether physical approach occurs and protect against eroticisation"
EV-0251,TEXT,Rajamadevi orders dark confinement and starvation,Manimekalai,Chapter 23 lines around 060,"Believing Manimekalai caused her son's death the queen confines her in a dark room and orders servants not to feed her",citation_only,provisional,"Verify whether water is also withheld and identify intermediaries"
EV-0252,TEXT,Manimekalai survives the coercive attempts,Manimekalai,Chapter 23,"Mantras allow Manimekalai to remain aware change form and survive without food so the queen's attempts do not produce the intended harm",citation_only,provisional,"Do not frame survival as proof that coercion was harmless"
EV-0253,TEXT,Rajamadevi recognises Manimekalai and asks forgiveness,Manimekalai,Chapter 23 lines around 060 to 070,"Seeing that Manimekalai has not been harmed the queen recognises her as a sage explains her grief asks forgiveness and bows",citation_only,provisional,"Verify exact recognition vocabulary gesture and sequence"
EV-0254,TEXT,Manimekalai challenges exclusive maternal possession,Manimekalai,Chapter 23 lines around 070 to 100,"Manimekalai asks whether the queen mourns the prince's body or continuing life and argues that concern for his life should expand toward all creatures",citation_only,provisional,"Preserve grief while avoiding deserved-death interpretation"
EV-0255,TEXT,Manimekalai names the queen's attacks,Manimekalai,Chapter 23 lines around 090 to 110,"Manimekalai recounts the drug paid man confinement and the means by which she survived them",citation_only,provisional,"Recognition scene must include factual accountability"
EV-0256,TEXT,Rajamadevi refuses Chitrapathi's custody request,Manimekalai,Chapter 24 lines around 070 to 080,"The queen says Manimekalai has renounced household life and should remain with her rather than return to Chitrapathi",citation_only,provisional,"Protection and continued possession remain ambiguous"
EV-0257,TEXT,Rajamadevi receives Aravana with reverence,Manimekalai,Chapter 24 lines around 100,"The queen offers Aravana a seat greets him respectfully and listens as he teaches the assembled women",citation_only,provisional,"Verify participants blocking and institutional effect"
EV-0258,TEXT,Manimekalai declares an independent departure,Manimekalai,Chapter 24 lines around 150 to 160,"Manimekalai tells the queen attendants and Chitrapathi that she will leave Puhar travel to Punniyarajan's country Manipallavam and Vanji and asks them not to worry",citation_only,provisional,"Clarify whether explicit royal permission is stated"
EV-0259,INTERPRETATION,Personal grief becomes distributed institutional harm,Project adaptation,Character bible,"Drugging defamation access control confinement and starvation require servants money spaces and silence beyond the queen's private emotion",original,provisional,"Requires legal historical and production workflow review"
EV-0260,CAUTION,Recognition is not completed repair,Project methodology,Character bible,"Bowing apology reverence or later protection cannot erase coercion compel forgiveness or convert Manimekalai into the queen's sacred dependent",original,approved,"Binding screenplay performance edit and publicity rule"
